C:\Users\USER\anaconda3\python.exe C:/Users/USER/PycharmProjects/thesisProje/fsdf.py
+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.000     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:  35 | Epsilon:  0.25 | Reward: -499.99260602096115 | Average Reward: -271.446 | Steps:  4658 | Total Reward: -9500.59885012002|
| Episode:  36 | Epsilon:  0.24 | Reward: -70.45135305686951 | Average Reward: -265.863 | Steps:  4774 | Total Reward: -9571.050203176888|
| Episode:  37 | Epsilon:  0.23 | Reward: -280.6958370166103 | Average Reward: -266.263 | Steps:  4959 | Total Reward: -9851.7460401935|
| Episode:  38 | Epsilon:  0.23 | Reward: -213.76883583380933 | Average Reward: -264.882 | Steps:  5122 | Total Reward: -10065.5148760273|
| Episode:  39 | Epsilon:  0.22 | Reward: -126.48614448606682 | Average Reward: -261.333 | Steps:  5264 | Total Reward: -10192.001020513371|
| Episode:  40 | Epsilon:  0.21 | Reward: -64.30894938980217 | Average Reward: -256.408 | Steps:  5382 | Total Reward: -10256.309969903174|
| Episode:  41 | Epsilon:  0.21 | Reward: -308.12291554274543 | Average Reward: -257.669 | Steps:  5504 | Total Reward: -10564.43288544592|
| Episode:  42 | Epsilon:  0.20 | Reward: -262.41141136238167 | Average Reward: -257.782 | Steps:  5640 | Total Reward: -10826.844296808305|
| Episode:  43 | Epsilon:  0.20 | Reward: -231.3733223350955 | Average Reward: -257.168 | Steps:  5790 | Total Reward: -11058.217619143412|
| Episode:  44 | Epsilon:  0.19 | Reward: -8.058714038197309 | Average Reward: -251.506 | Steps:  5995 | Total Reward: -11066.276333181606|
| Episode:  45 | Epsilon:  0.19 | Reward: -123.55542583117898 | Average Reward: -248.663 | Steps:  6116 | Total Reward: -11189.831759012784|
| Episode:  46 | Epsilon:  0.18 | Reward: -210.312584803331 | Average Reward: -247.829 | Steps:  6276 | Total Reward: -11400.14434381612|
| Episode:  47 | Epsilon:  0.18 | Reward: -83.19103646829896 | Average Reward: -244.326 | Steps:  6452 | Total Reward: -11483.335380284416|
| Episode:  48 | Epsilon:  0.18 | Reward: -201.10149706730778 | Average Reward: -243.426 | Steps:  6669 | Total Reward: -11684.43687735173|
| Episode:  49 | Epsilon:  0.17 | Reward: -212.5153481006924 | Average Reward: -242.795 | Steps:  6815 | Total Reward: -11896.952225452425|
| Episode:  50 | Epsilon:  0.17 | Reward: -204.72990137904554 | Average Reward: -242.034 | Steps:  6968 | Total Reward: -12101.682126831462|
| Episode:  51 | Epsilon:  0.17 | Reward: -76.45767247031557 | Average Reward: -238.787 | Steps:  7115 | Total Reward: -12178.139799301769|
| Episode:  52 | Epsilon:  0.16 | Reward: -47.377767574526274 | Average Reward: -235.106 | Steps:  7237 | Total Reward: -12225.517566876293|
| Episode:  53 | Epsilon:  0.16 | Reward: -230.85653329578278 | Average Reward: -235.026 | Steps:  7415 | Total Reward: -12456.374100172095|
| Episode:  54 | Epsilon:  0.16 | Reward: -158.6445920803614 | Average Reward: -233.611 | Steps:  7560 | Total Reward: -12615.018692252455|
| Episode:  55 | Epsilon:  0.15 | Reward: -127.92807161565005 | Average Reward: -231.690 | Steps:  7749 | Total Reward: -12742.946763868125|
| Episode:  56 | Epsilon:  0.15 | Reward: -28.675053846299946 | Average Reward: -228.065 | Steps:  7934 | Total Reward: -12771.62181771444|
| Episode:  57 | Epsilon:  0.15 | Reward: -220.75258874662916 | Average Reward: -227.936 | Steps:  8074 | Total Reward: -12992.374406461075|
| Episode:  58 | Epsilon:  0.15 | Reward: -85.15265969134681 | Average Reward: -225.475 | Steps:  8325 | Total Reward: -13077.527066152436|
| Episode:  59 | Epsilon:  0.14 | Reward: -55.92683879735285 | Average Reward: -222.601 | Steps:  8514 | Total Reward: -13133.45390494977|
| Episode:  60 | Epsilon:  0.14 | Reward: -49.51403714666694 | Average Reward: -219.716 | Steps:  8715 | Total Reward: -13182.967942096437|
| Episode:  61 | Epsilon:  0.14 | Reward: -45.1154322988731 | Average Reward: -216.854 | Steps:  8980 | Total Reward: -13228.083374395295|
| Episode:  62 | Epsilon:  0.14 | Reward: 47.990791903750676 | Average Reward: -212.582 | Steps:  9189 | Total Reward: -13180.092582491541|
| Episode:  63 | Epsilon:  0.14 | Reward: -18.833486676063018 | Average Reward: -209.507 | Steps:  9362 | Total Reward: -13198.926069167612|
| Episode:  64 | Epsilon:  0.13 | Reward: -205.89202789168337 | Average Reward: -209.450 | Steps:  9522 | Total Reward: -13404.818097059297|
| Episode:  65 | Epsilon:  0.13 | Reward: -96.30867255508394 | Average Reward: -207.710 | Steps:  9707 | Total Reward: -13501.126769614379|
| Episode:  66 | Epsilon:  0.13 | Reward: -154.9108138927152 | Average Reward: -206.910 | Steps:  9881 | Total Reward: -13656.03758350709|
| Episode:  67 | Epsilon:  0.13 | Reward: -208.8349338372861 | Average Reward: -206.938 | Steps: 10067 | Total Reward: -13864.872517344362|
| Episode:  68 | Epsilon:  0.13 | Reward: -70.53639906683287 | Average Reward: -204.932 | Steps: 10267 | Total Reward: -13935.408916411197|
| Episode:  69 | Epsilon:  0.13 | Reward: -163.39856206788247 | Average Reward: -204.331 | Steps: 10446 | Total Reward: -14098.80747847908|
| Episode:  70 | Epsilon:  0.13 | Reward: -53.919560653634576 | Average Reward: -202.182 | Steps: 10686 | Total Reward: -14152.727039132711|
| Episode:  71 | Epsilon:  0.12 | Reward: -274.3747027003943 | Average Reward: -203.199 | Steps: 10844 | Total Reward: -14427.101741833092|
| Episode:  72 | Epsilon:  0.12 | Reward: -78.98124796968716 | Average Reward: -201.473 | Steps: 11033 | Total Reward: -14506.082989802793|
| Episode:  73 | Epsilon:  0.12 | Reward: -292.18866107862596 | Average Reward: -202.716 | Steps: 11230 | Total Reward: -14798.271650881403|
| Episode:  74 | Epsilon:  0.12 | Reward: -162.53851014470592 | Average Reward: -202.173 | Steps: 11458 | Total Reward: -14960.810161026102|
| Episode:  75 | Epsilon:  0.12 | Reward: -326.7456471764047 | Average Reward: -203.834 | Steps: 11617 | Total Reward: -15287.555808202513|
| Episode:  76 | Epsilon:  0.12 | Reward: -54.34477939512148 | Average Reward: -201.867 | Steps: 12617 | Total Reward: -15341.90058759762|
| Episode:  77 | Epsilon:  0.12 | Reward: -37.87945677520136 | Average Reward: -199.737 | Steps: 12803 | Total Reward: -15379.780044372817|
| Episode:  78 | Epsilon:  0.12 | Reward: -147.22117423613508 | Average Reward: -199.064 | Steps: 12988 | Total Reward: -15527.001218608952|
| Episode:  79 | Epsilon:  0.12 | Reward: -81.62736314835436 | Average Reward: -197.578 | Steps: 13173 | Total Reward: -15608.628581757303|
| Episode:  80 | Epsilon:  0.12 | Reward: -265.9623226646711 | Average Reward: -198.432 | Steps: 13416 | Total Reward: -15874.59090442198|
| Episode:  81 | Epsilon:  0.11 | Reward: -267.06487368045674 | Average Reward: -199.280 | Steps: 13615 | Total Reward: -16141.655778102438|
| Episode:  82 | Epsilon:  0.11 | Reward: 55.89496721024486 | Average Reward: -196.168 | Steps: 13758 | Total Reward: -16085.76081089219|
| Episode:  83 | Epsilon:  0.11 | Reward: -279.27141232999304 | Average Reward: -197.169 | Steps: 13892 | Total Reward: -16365.032223222173|
| Episode:  84 | Epsilon:  0.11 | Reward: 17.13467940354448 | Average Reward: -194.618 | Steps: 14132 | Total Reward: -16347.897543818633|
| Episode:  85 | Epsilon:  0.11 | Reward: -165.1946086646924 | Average Reward: -194.272 | Steps: 14381 | Total Reward: -16513.09215248331|
| Episode:  86 | Epsilon:  0.11 | Reward: -235.77364145639885 | Average Reward: -194.754 | Steps: 14612 | Total Reward: -16748.86579393973|
| Episode:  87 | Epsilon:  0.11 | Reward: -10.6887146437209 | Average Reward: -192.639 | Steps: 14819 | Total Reward: -16759.554508583464|
| Episode:  88 | Epsilon:  0.11 | Reward: -64.10238538562999 | Average Reward: -191.178 | Steps: 15027 | Total Reward: -16823.6568939691|
| Episode:  89 | Epsilon:  0.11 | Reward: -166.50816817275893 | Average Reward: -190.901 | Steps: 15181 | Total Reward: -16990.165062141845|
| Episode:  90 | Epsilon:  0.11 | Reward: -162.6367729353302 | Average Reward: -190.587 | Steps: 15348 | Total Reward: -17152.801835077193|
| Episode:  91 | Epsilon:  0.11 | Reward: -224.95236651399114 | Average Reward: -190.964 | Steps: 15563 | Total Reward: -17377.754201591208|
| Episode:  92 | Epsilon:  0.11 | Reward: 1.8767512254827494 | Average Reward: -188.868 | Steps: 15753 | Total Reward: -17375.877450365722|
| Episode:  93 | Epsilon:  0.11 | Reward: -198.52427805006545 | Average Reward: -188.972 | Steps: 15937 | Total Reward: -17574.401728415785|
| Episode:  94 | Epsilon:  0.11 | Reward: -227.21073309453544 | Average Reward: -189.379 | Steps: 16162 | Total Reward: -17801.61246151033|
| Episode:  95 | Epsilon:  0.11 | Reward: 19.652828984356944 | Average Reward: -187.179 | Steps: 16411 | Total Reward: -17781.95963252597|
| Episode:  96 | Epsilon:  0.11 | Reward: -49.997660143413924 | Average Reward: -185.750 | Steps: 16595 | Total Reward: -17831.957292669373|
| Episode:  97 | Epsilon:  0.11 | Reward: 11.066842508830788 | Average Reward: -183.721 | Steps: 16880 | Total Reward: -17820.89045016056|
