| Episode:  51 | Epsilon:  0.17 | Reward:  11.0 | Average Reward: 14.412 | Steps:   735 | Total Reward: 735.0|
| Episode:  52 | Epsilon:  0.16 | Reward:   9.0 | Average Reward: 14.308 | Steps:   744 | Total Reward: 744.0|
| Episode:  53 | Epsilon:  0.16 | Reward:  10.0 | Average Reward: 14.226 | Steps:   754 | Total Reward: 754.0|
| Episode:  54 | Epsilon:  0.16 | Reward:  10.0 | Average Reward: 14.148 | Steps:   764 | Total Reward: 764.0|
| Episode:  55 | Epsilon:  0.15 | Reward:   8.0 | Average Reward: 14.036 | Steps:   772 | Total Reward: 772.0|
| Episode:  56 | Epsilon:  0.15 | Reward:   9.0 | Average Reward: 13.946 | Steps:   781 | Total Reward: 781.0|
| Episode:  57 | Epsilon:  0.15 | Reward:   9.0 | Average Reward: 13.860 | Steps:   790 | Total Reward: 790.0|
| Episode:  58 | Epsilon:  0.15 | Reward:  12.0 | Average Reward: 13.828 | Steps:   802 | Total Reward: 802.0|
| Episode:  59 | Epsilon:  0.14 | Reward:  10.0 | Average Reward: 13.763 | Steps:   812 | Total Reward: 812.0|
| Episode:  60 | Epsilon:  0.14 | Reward:   9.0 | Average Reward: 13.683 | Steps:   821 | Total Reward: 821.0|
| Episode:  61 | Epsilon:  0.14 | Reward:  14.0 | Average Reward: 13.689 | Steps:   835 | Total Reward: 835.0|
| Episode:  62 | Epsilon:  0.14 | Reward:   9.0 | Average Reward: 13.613 | Steps:   844 | Total Reward: 844.0|
| Episode:  63 | Epsilon:  0.14 | Reward:  11.0 | Average Reward: 13.571 | Steps:   855 | Total Reward: 855.0|
| Episode:  64 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 13.516 | Steps:   865 | Total Reward: 865.0|
| Episode:  65 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 13.446 | Steps:   874 | Total Reward: 874.0|
| Episode:  66 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 13.379 | Steps:   883 | Total Reward: 883.0|
| Episode:  67 | Epsilon:  0.13 | Reward:  11.0 | Average Reward: 13.343 | Steps:   894 | Total Reward: 894.0|
| Episode:  68 | Epsilon:  0.13 | Reward:  13.0 | Average Reward: 13.338 | Steps:   907 | Total Reward: 907.0|
| Episode:  69 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 13.290 | Steps:   917 | Total Reward: 917.0|
| Episode:  70 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 13.243 | Steps:   927 | Total Reward: 927.0|
| Episode:  71 | Epsilon:  0.12 | Reward:  13.0 | Average Reward: 13.239 | Steps:   940 | Total Reward: 940.0|
| Episode:  72 | Epsilon:  0.12 | Reward:   9.0 | Average Reward: 13.181 | Steps:   949 | Total Reward: 949.0|
| Episode:  73 | Epsilon:  0.12 | Reward:   9.0 | Average Reward: 13.123 | Steps:   958 | Total Reward: 958.0|
| Episode:  74 | Epsilon:  0.12 | Reward:   9.0 | Average Reward: 13.068 | Steps:   967 | Total Reward: 967.0|
| Episode:  75 | Epsilon:  0.12 | Reward:  14.0 | Average Reward: 13.080 | Steps:   981 | Total Reward: 981.0|
| Episode:  76 | Epsilon:  0.12 | Reward:  12.0 | Average Reward: 13.066 | Steps:   993 | Total Reward: 993.0|
| Episode:  77 | Epsilon:  0.12 | Reward:   8.0 | Average Reward: 13.000 | Steps:  1001 | Total Reward: 1001.0|
| Episode:  78 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 12.962 | Steps:  1011 | Total Reward: 1011.0|
| Episode:  79 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 12.924 | Steps:  1021 | Total Reward: 1021.0|
| Episode:  80 | Epsilon:  0.12 | Reward:  24.0 | Average Reward: 13.062 | Steps:  1045 | Total Reward: 1045.0|
| Episode:  81 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 13.025 | Steps:  1055 | Total Reward: 1055.0|
| Episode:  82 | Epsilon:  0.11 | Reward:   8.0 | Average Reward: 12.963 | Steps:  1063 | Total Reward: 1063.0|
| Episode:  83 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 12.916 | Steps:  1072 | Total Reward: 1072.0|
| Episode:  84 | Epsilon:  0.11 | Reward:   8.0 | Average Reward: 12.857 | Steps:  1080 | Total Reward: 1080.0|
| Episode:  85 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 12.812 | Steps:  1089 | Total Reward: 1089.0|
| Episode:  86 | Epsilon:  0.11 | Reward:   8.0 | Average Reward: 12.756 | Steps:  1097 | Total Reward: 1097.0|
| Episode:  87 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.724 | Steps:  1107 | Total Reward: 1107.0|
| Episode:  88 | Epsilon:  0.11 | Reward:  13.0 | Average Reward: 12.727 | Steps:  1120 | Total Reward: 1120.0|
| Episode:  89 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 12.685 | Steps:  1129 | Total Reward: 1129.0|
| Episode:  90 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.656 | Steps:  1139 | Total Reward: 1139.0|
| Episode:  91 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.626 | Steps:  1149 | Total Reward: 1149.0|
| Episode:  92 | Epsilon:  0.11 | Reward:  12.0 | Average Reward: 12.620 | Steps:  1161 | Total Reward: 1161.0|
| Episode:  93 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 12.581 | Steps:  1170 | Total Reward: 1170.0|
| Episode:  94 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.553 | Steps:  1180 | Total Reward: 1180.0|
| Episode:  95 | Epsilon:  0.11 | Reward:  11.0 | Average Reward: 12.537 | Steps:  1191 | Total Reward: 1191.0|
| Episode:  96 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.510 | Steps:  1201 | Total Reward: 1201.0|
| Episode:  97 | Epsilon:  0.11 | Reward:   8.0 | Average Reward: 12.464 | Steps:  1209 | Total Reward: 1209.0|
| Episode:  98 | Epsilon:  0.11 | Reward:  11.0 | Average Reward: 12.449 | Steps:  1220 | Total Reward: 1220.0|
| Episode:  99 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.424 | Steps:  1230 | Total Reward: 1230.0|
| Episode: 100 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 12.390 | Steps:  1239 | Total Reward: 1239.0|
| Episode: 101 | Epsilon:  0.11 | Reward:   8.0 | Average Reward: 11.870 | Steps:  1247 | Total Reward: 1247.0|
| Episode: 102 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.810 | Steps:  1256 | Total Reward: 1256.0|
| Episode: 103 | Epsilon:  0.10 | Reward:  10.0 | Average Reward: 11.390 | Steps:  1266 | Total Reward: 1266.0|
| Episode: 104 | Epsilon:  0.10 | Reward:   9.0 | Average Reward: 11.260 | Steps:  1275 | Total Reward: 1275.0|
| Episode: 105 | Epsilon:  0.10 | Reward:  10.0 | Average Reward: 11.210 | Steps:  1285 | Total Reward: 1285.0|
| Episode: 106 | Epsilon:  0.10 | Reward:   8.0 | Average Reward: 10.730 | Steps:  1293 | Total Reward: 1293.0|
| Episode: 107 | Epsilon:  0.10 | Reward:  10.0 | Average Reward: 10.680 | Steps:  1303 | Total Reward: 1303.0|
| Episode: 108 | Epsilon:  0.10 | Reward:   8.0 | Average Reward: 10.620 | Steps:  1311 | Total Reward: 1311.0|
| Episode: 109 | Epsilon:  0.10 | Reward:  14.0 | Average Reward: 10.650 | Steps:  1325 | Total Reward: 1325.0|
| Episode: 110 | Epsilon:  0.10 | Reward:   9.0 | Average Reward: 10.650 | Steps:  1334 | Total Reward: 1334.0|
| Episode: 111 | Epsilon:  0.10 | Reward:  11.0 | Average Reward: 10.600 | Steps:  1345 | Total Reward: 1345.0|
| Episode: 112 | Epsilon:  0.10 | Reward:  10.0 | Average Reward: 10.600 | Steps:  1355 | Total Reward: 1355.0|
| Episode: 113 | Epsilon:  0.10 | Reward:   9.0 | Average Reward: 10.580 | Steps:  1364 | Total Reward: 1364.0|
| Episode: 114 | Epsilon:  0.10 | Reward:  15.0 | Average Reward: 10.640 | Steps:  1379 | Total Reward: 1379.0|
| Episode: 115 | Epsilon:  0.10 | Reward:  11.0 | Average Reward: 10.630 | Steps:  1390 | Total Reward: 1390.0|
| Episode: 116 | Epsilon:  0.10 | Reward:  11.0 | Average Reward: 10.560 | Steps:  1401 | Total Reward: 1401.0|
| Episode: 117 | Epsilon:  0.10 | Reward:  15.0 | Average Reward: 10.570 | Steps:  1416 | Total Reward: 1416.0|
| Episode: 118 | Epsilon:  0.10 | Reward:  13.0 | Average Reward: 10.580 | Steps:  1429 | Total Reward: 1429.0|
| Episode: 119 | Epsilon:  0.10 | Reward:  32.0 | Average Reward: 10.790 | Steps:  1461 | Total Reward: 1461.0|
| Episode: 120 | Epsilon:  0.10 | Reward:  13.0 | Average Reward: 10.800 | Steps:  1474 | Total Reward: 1474.0|
| Episode: 121 | Epsilon:  0.10 | Reward:  18.0 | Average Reward: 10.890 | Steps:  1492 | Total Reward: 1492.0|
| Episode: 122 | Epsilon:  0.10 | Reward:  15.0 | Average Reward: 10.910 | Steps:  1507 | Total Reward: 1507.0|
