+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+-------------------------------------------+
|          Parameter           |                   Value                   |
+==============================+===========================================+
| Layer Type:                  | hopfield_pooling                          |
+------------------------------+-------------------------------------------+
| Loss Metric:                 | mse                                       |
+------------------------------+-------------------------------------------+
| Sequence Length:             | 20                                        |
+------------------------------+-------------------------------------------+
| Learning Rate:               | 0.000                                     |
+------------------------------+-------------------------------------------+
| Target Update Steps:         | 5000                                      |
+------------------------------+-------------------------------------------+
| Optimizer:                   | rmsprop                                   |
+------------------------------+-------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                     |
+------------------------------+-------------------------------------------+
| Scale Q-values with lr       | yes                                       |
+------------------------------+-------------------------------------------+
| Hard or Soft Update          | hard                                      |
+------------------------------+-------------------------------------------+
| Polyak Factor                | None                                      |
+------------------------------+-------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask      |
|                              | Evaluation: False, Hidden dims: [1], mask |
+------------------------------+-------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   0.0 | Average Reward: 0.000 | Steps:   115 | Total Reward:   0.0|
| Episode:   2 | Epsilon:  0.88 | Reward:   2.0 | Average Reward: 1.000 | Steps:   301 | Total Reward:   2.0|
| Episode:   3 | Epsilon:  0.86 | Reward:   3.0 | Average Reward: 1.667 | Steps:   536 | Total Reward:   5.0|
| Episode:   4 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 1.250 | Steps:   651 | Total Reward:   5.0|
| Episode:   5 | Epsilon:  0.84 | Reward:   0.0 | Average Reward: 1.000 | Steps:   766 | Total Reward:   5.0|
| Episode:   6 | Epsilon:  0.83 | Reward:   0.0 | Average Reward: 0.833 | Steps:   877 | Total Reward:   5.0|
| Episode:   7 | Epsilon:  0.81 | Reward:   0.0 | Average Reward: 0.714 | Steps:   990 | Total Reward:   5.0|
| Episode:   8 | Epsilon:  0.80 | Reward:   0.0 | Average Reward: 0.625 | Steps:  1105 | Total Reward:   5.0|
| Episode:   9 | Epsilon:  0.79 | Reward:   5.0 | Average Reward: 1.111 | Steps:  1441 | Total Reward:  10.0|
| Episode:  10 | Epsilon:  0.78 | Reward:   0.0 | Average Reward: 1.000 | Steps:  1552 | Total Reward:  10.0|
| Episode:  11 | Epsilon:  0.77 | Reward:   0.0 | Average Reward: 0.909 | Steps:  1667 | Total Reward:  10.0|
| Episode:  12 | Epsilon:  0.76 | Reward:   0.0 | Average Reward: 0.833 | Steps:  1782 | Total Reward:  10.0|
| Episode:  13 | Epsilon:  0.75 | Reward:   0.0 | Average Reward: 0.769 | Steps:  1897 | Total Reward:  10.0|
| Episode:  14 | Epsilon:  0.74 | Reward:   1.0 | Average Reward: 0.786 | Steps:  2038 | Total Reward:  11.0|
| Episode:  15 | Epsilon:  0.73 | Reward:   0.0 | Average Reward: 0.733 | Steps:  2151 | Total Reward:  11.0|
| Episode:  16 | Epsilon:  0.71 | Reward:   4.0 | Average Reward: 0.938 | Steps:  2457 | Total Reward:  15.0|
| Episode:  17 | Epsilon:  0.70 | Reward:   0.0 | Average Reward: 0.882 | Steps:  2570 | Total Reward:  15.0|
| Episode:  18 | Epsilon:  0.69 | Reward:   0.0 | Average Reward: 0.833 | Steps:  2685 | Total Reward:  15.0|
| Episode:  19 | Epsilon:  0.68 | Reward:   0.0 | Average Reward: 0.789 | Steps:  2800 | Total Reward:  15.0|
| Episode:  20 | Epsilon:  0.68 | Reward:   0.0 | Average Reward: 0.750 | Steps:  2915 | Total Reward:  15.0|
| Episode:  21 | Epsilon:  0.67 | Reward:   6.0 | Average Reward: 1.000 | Steps:  3305 | Total Reward:  21.0|
| Episode:  22 | Epsilon:  0.66 | Reward:   0.0 | Average Reward: 0.955 | Steps:  3420 | Total Reward:  21.0|
| Episode:  23 | Epsilon:  0.65 | Reward:   5.0 | Average Reward: 1.130 | Steps:  3756 | Total Reward:  26.0|
| Episode:  24 | Epsilon:  0.64 | Reward:   0.0 | Average Reward: 1.083 | Steps:  3871 | Total Reward:  26.0|
| Episode:  25 | Epsilon:  0.63 | Reward:   2.0 | Average Reward: 1.120 | Steps:  4059 | Total Reward:  28.0|
| Episode:  26 | Epsilon:  0.62 | Reward:   0.0 | Average Reward: 1.077 | Steps:  4174 | Total Reward:  28.0|
| Episode:  27 | Epsilon:  0.61 | Reward:   0.0 | Average Reward: 1.037 | Steps:  4289 | Total Reward:  28.0|
| Episode:  28 | Epsilon:  0.60 | Reward:   5.0 | Average Reward: 1.179 | Steps:  4625 | Total Reward:  33.0|
| Episode:  29 | Epsilon:  0.60 | Reward:   0.0 | Average Reward: 1.138 | Steps:  4740 | Total Reward:  33.0|
| Episode:  30 | Epsilon:  0.59 | Reward:   0.0 | Average Reward: 1.100 | Steps:  4853 | Total Reward:  33.0|
| Episode:  31 | Epsilon:  0.58 | Reward:   0.0 | Average Reward: 1.065 | Steps:  4966 | Total Reward:  33.0|
| Episode:  32 | Epsilon:  0.57 | Reward:   0.0 | Average Reward: 1.031 | Steps:  5081 | Total Reward:  33.0|
| Episode:  33 | Epsilon:  0.56 | Reward:   0.0 | Average Reward: 1.000 | Steps:  5196 | Total Reward:  33.0|
| Episode:  34 | Epsilon:  0.56 | Reward:   0.0 | Average Reward: 0.971 | Steps:  5309 | Total Reward:  33.0|
| Episode:  35 | Epsilon:  0.55 | Reward:   6.0 | Average Reward: 1.114 | Steps:  5699 | Total Reward:  39.0|
| Episode:  36 | Epsilon:  0.54 | Reward:   0.0 | Average Reward: 1.083 | Steps:  5814 | Total Reward:  39.0|
| Episode:  37 | Epsilon:  0.53 | Reward:   4.0 | Average Reward: 1.162 | Steps:  6097 | Total Reward:  43.0|
| Episode:  38 | Epsilon:  0.53 | Reward:   0.0 | Average Reward: 1.132 | Steps:  6212 | Total Reward:  43.0|
| Episode:  39 | Epsilon:  0.52 | Reward:   6.0 | Average Reward: 1.256 | Steps:  6602 | Total Reward:  49.0|
| Episode:  40 | Epsilon:  0.51 | Reward:   0.0 | Average Reward: 1.225 | Steps:  6717 | Total Reward:  49.0|
| Episode:  41 | Epsilon:  0.51 | Reward:   0.0 | Average Reward: 1.195 | Steps:  6830 | Total Reward:  49.0|
| Episode:  42 | Epsilon:  0.50 | Reward:   0.0 | Average Reward: 1.167 | Steps:  6943 | Total Reward:  49.0|
| Episode:  43 | Epsilon:  0.49 | Reward:   6.0 | Average Reward: 1.279 | Steps:  7333 | Total Reward:  55.0|
| Episode:  44 | Epsilon:  0.49 | Reward:   0.0 | Average Reward: 1.250 | Steps:  7448 | Total Reward:  55.0|
| Episode:  45 | Epsilon:  0.48 | Reward:   2.0 | Average Reward: 1.267 | Steps:  7636 | Total Reward:  57.0|
| Episode:  46 | Epsilon:  0.47 | Reward:   0.0 | Average Reward: 1.239 | Steps:  7749 | Total Reward:  57.0|
| Episode:  47 | Epsilon:  0.47 | Reward:   0.0 | Average Reward: 1.213 | Steps:  7862 | Total Reward:  57.0|
| Episode:  48 | Epsilon:  0.46 | Reward:   0.0 | Average Reward: 1.188 | Steps:  7975 | Total Reward:  57.0|
| Episode:  49 | Epsilon:  0.45 | Reward:   0.0 | Average Reward: 1.163 | Steps:  8090 | Total Reward:  57.0|
| Episode:  50 | Epsilon:  0.45 | Reward:   0.0 | Average Reward: 1.140 | Steps:  8201 | Total Reward:  57.0|
| Episode:  51 | Epsilon:  0.44 | Reward:   0.0 | Average Reward: 1.118 | Steps:  8316 | Total Reward:  57.0|
| Episode:  52 | Epsilon:  0.44 | Reward:   0.0 | Average Reward: 1.096 | Steps:  8431 | Total Reward:  57.0|
| Episode:  53 | Epsilon:  0.43 | Reward:   5.0 | Average Reward: 1.170 | Steps:  8767 | Total Reward:  62.0|
| Episode:  54 | Epsilon:  0.43 | Reward:   6.0 | Average Reward: 1.259 | Steps:  9157 | Total Reward:  68.0|
| Episode:  55 | Epsilon:  0.42 | Reward:   0.0 | Average Reward: 1.236 | Steps:  9270 | Total Reward:  68.0|
| Episode:  56 | Epsilon:  0.42 | Reward:   2.0 | Average Reward: 1.250 | Steps:  9458 | Total Reward:  70.0|
| Episode:  57 | Epsilon:  0.41 | Reward:   0.0 | Average Reward: 1.228 | Steps:  9573 | Total Reward:  70.0|
| Episode:  58 | Epsilon:  0.41 | Reward:   0.0 | Average Reward: 1.207 | Steps:  9688 | Total Reward:  70.0|
| Episode:  59 | Epsilon:  0.40 | Reward:   0.0 | Average Reward: 1.186 | Steps:  9801 | Total Reward:  70.0|
| Episode:  60 | Epsilon:  0.40 | Reward:   0.0 | Average Reward: 1.167 | Steps:  9916 | Total Reward:  70.0|
| Episode:  61 | Epsilon:  0.39 | Reward:   6.0 | Average Reward: 1.246 | Steps: 10306 | Total Reward:  76.0|
| Episode:  62 | Epsilon:  0.39 | Reward:   0.0 | Average Reward: 1.226 | Steps: 10421 | Total Reward:  76.0|
| Episode:  63 | Epsilon:  0.38 | Reward:   0.0 | Average Reward: 1.206 | Steps: 10536 | Total Reward:  76.0|
| Episode:  64 | Epsilon:  0.38 | Reward:   2.0 | Average Reward: 1.219 | Steps: 10724 | Total Reward:  78.0|
| Episode:  65 | Epsilon:  0.37 | Reward:   0.0 | Average Reward: 1.200 | Steps: 10839 | Total Reward:  78.0|
| Episode:  66 | Epsilon:  0.37 | Reward:   5.0 | Average Reward: 1.258 | Steps: 11175 | Total Reward:  83.0|
| Episode:  67 | Epsilon:  0.36 | Reward:   0.0 | Average Reward: 1.239 | Steps: 11290 | Total Reward:  83.0|
| Episode:  68 | Epsilon:  0.36 | Reward:   0.0 | Average Reward: 1.221 | Steps: 11405 | Total Reward:  83.0|
| Episode:  69 | Epsilon:  0.35 | Reward:   5.0 | Average Reward: 1.275 | Steps: 11741 | Total Reward:  88.0|
