+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
| Episode:   1 | Epsilon:  0.90 | Reward: -82.60654344341646 | Average Reward: -82.607 | Steps:   110 | Total Reward: -82.60654344341646|
| Episode:   2 | Epsilon:  0.86 | Reward: -396.6776454095965 | Average Reward: -239.642 | Steps:   198 | Total Reward: -479.28418885301295|
| Episode:   3 | Epsilon:  0.82 | Reward: -315.2435346746409 | Average Reward: -264.843 | Steps:   331 | Total Reward: -794.5277235276528|
| Episode:   4 | Epsilon:  0.79 | Reward: -96.15715968845043 | Average Reward: -222.671 | Steps:   409 | Total Reward: -890.6848832161025|
| Episode:   5 | Epsilon:  0.75 | Reward: -294.82203578332167 | Average Reward: -237.101 | Steps:   557 | Total Reward: -1185.5069189994235|
| Episode:   6 | Epsilon:  0.72 | Reward: -129.71265417058612 | Average Reward: -219.203 | Steps:   747 | Total Reward: -1315.2195731700085|
| Episode:   7 | Epsilon:  0.69 | Reward: -266.82982198934815 | Average Reward: -226.007 | Steps:   839 | Total Reward: -1582.049395159357|
| Episode:   8 | Epsilon:  0.66 | Reward: -284.40262437392346 | Average Reward: -233.307 | Steps:  1117 | Total Reward: -1866.452019533276|
| Episode:   9 | Epsilon:  0.64 | Reward: -351.8351948285923 | Average Reward: -246.476 | Steps:  1217 | Total Reward: -2218.2872143618674|
| Episode:  10 | Epsilon:  0.61 | Reward: -504.61047841724076 | Average Reward: -272.290 | Steps:  1344 | Total Reward: -2722.897692779112|
| Episode:  11 | Epsilon:  0.59 | Reward: -686.0856754021077 | Average Reward: -309.908 | Steps:  1618 | Total Reward: -3408.9833681812206|
| Episode:  12 | Epsilon:  0.56 | Reward: -771.2402823338543 | Average Reward: -348.352 | Steps:  1873 | Total Reward: -4180.223650515074|
| Episode:  13 | Epsilon:  0.54 | Reward: -377.48516644558345 | Average Reward: -350.593 | Steps:  1972 | Total Reward: -4557.708816960656|
| Episode:  14 | Epsilon:  0.52 | Reward: -563.0051545957969 | Average Reward: -365.765 | Steps:  2097 | Total Reward: -5120.713971556451|
| Episode:  15 | Epsilon:  0.50 | Reward: -64.93366544822752 | Average Reward: -345.710 | Steps:  2261 | Total Reward: -5185.647637004678|
| Episode:  16 | Epsilon:  0.48 | Reward: -284.7010573498296 | Average Reward: -341.897 | Steps:  2419 | Total Reward: -5470.348694354507|
| Episode:  17 | Epsilon:  0.46 | Reward: -121.6462849758152 | Average Reward: -328.941 | Steps:  2591 | Total Reward: -5591.99497933032|
| Episode:  18 | Epsilon:  0.44 | Reward: -180.9144482574926 | Average Reward: -320.717 | Steps:  2738 | Total Reward: -5772.909427587816|
| Episode:  19 | Epsilon:  0.43 | Reward: -208.5633541504983 | Average Reward: -314.814 | Steps:  2866 | Total Reward: -5981.47278173831|
| Episode:  20 | Epsilon:  0.41 | Reward: -117.42650694473178 | Average Reward: -304.945 | Steps:  3060 | Total Reward: -6098.899288683043|
| Episode:  21 | Epsilon:  0.39 | Reward: -307.7252274831053 | Average Reward: -305.077 | Steps:  3225 | Total Reward: -6406.6245161661545|
| Episode:  22 | Epsilon:  0.38 | Reward: -339.18059678890114 | Average Reward: -306.628 | Steps:  3405 | Total Reward: -6745.805112955053|
| Episode:  23 | Epsilon:  0.37 | Reward: 35.106733513075284 | Average Reward: -291.769 | Steps:  3561 | Total Reward: -6710.69837944198|
| Episode:  24 | Epsilon:  0.35 | Reward: -71.78065634636754 | Average Reward: -282.603 | Steps:  3701 | Total Reward: -6782.479035788347|
| Episode:  25 | Epsilon:  0.34 | Reward: -36.63776749233179 | Average Reward: -272.765 | Steps:  3815 | Total Reward: -6819.11680328068|
| Episode:  26 | Epsilon:  0.33 | Reward: -445.76732438560333 | Average Reward: -279.419 | Steps:  3956 | Total Reward: -7264.884127666279|
| Episode:  27 | Epsilon:  0.32 | Reward: 6.658950909194303 | Average Reward: -268.823 | Steps:  4129 | Total Reward: -7258.225176757081|
