+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
| Episode:   1 | Epsilon:  0.90 | Reward: -432.86554689861805 | Average Reward: -432.866 | Steps:   115 | Total Reward: -432.86554689861805|
| Episode:   2 | Epsilon:  0.86 | Reward: -561.8830752195839 | Average Reward: -497.374 | Steps:   238 | Total Reward: -994.7486221182011|
| Episode:   3 | Epsilon:  0.82 | Reward: -342.043308720887 | Average Reward: -445.597 | Steps:   328 | Total Reward: -1336.7919308390874|
| Episode:   4 | Epsilon:  0.79 | Reward: -313.17133130714194 | Average Reward: -412.491 | Steps:   422 | Total Reward: -1649.9632621462285|
| Episode:   5 | Epsilon:  0.75 | Reward: -208.60846264017908 | Average Reward: -371.714 | Steps:   563 | Total Reward: -1858.5717247864081|
| Episode:   6 | Epsilon:  0.72 | Reward: -351.65692311775985 | Average Reward: -368.371 | Steps:   670 | Total Reward: -2210.2286479041672|
| Episode:   7 | Epsilon:  0.69 | Reward: -51.78847959015877 | Average Reward: -323.145 | Steps:   832 | Total Reward: -2262.017127494325|
| Episode:   8 | Epsilon:  0.66 | Reward: -296.3183675811373 | Average Reward: -319.792 | Steps:   923 | Total Reward: -2558.335495075461|
| Episode:   9 | Epsilon:  0.64 | Reward: -537.8617834488748 | Average Reward: -344.022 | Steps:  1071 | Total Reward: -3096.197278524336|
| Episode:  10 | Epsilon:  0.61 | Reward: -458.01065300952433 | Average Reward: -355.421 | Steps:  1194 | Total Reward: -3554.20793153386|
| Episode:  11 | Epsilon:  0.59 | Reward: -238.22584032530654 | Average Reward: -344.767 | Steps:  1304 | Total Reward: -3792.4337718591655|
| Episode:  12 | Epsilon:  0.56 | Reward: -444.58796313962847 | Average Reward: -353.085 | Steps:  1378 | Total Reward: -4237.021734998797|
| Episode:  13 | Epsilon:  0.54 | Reward: -405.433253326607 | Average Reward: -357.112 | Steps:  1466 | Total Reward: -4642.454988325403|
| Episode:  14 | Epsilon:  0.52 | Reward: -209.00117451510488 | Average Reward: -346.533 | Steps:  1567 | Total Reward: -4851.456162840505|
| Episode:  15 | Epsilon:  0.50 | Reward: -399.9953535692731 | Average Reward: -350.097 | Steps:  1831 | Total Reward: -5251.451516409769|
| Episode:  16 | Epsilon:  0.48 | Reward: -375.30519586267656 | Average Reward: -351.672 | Steps:  1932 | Total Reward: -5626.756712272449|
| Episode:  17 | Epsilon:  0.46 | Reward: -336.6181527524665 | Average Reward: -350.787 | Steps:  2025 | Total Reward: -5963.374865024915|
| Episode:  18 | Epsilon:  0.44 | Reward: -534.9882699743612 | Average Reward: -361.020 | Steps:  2129 | Total Reward: -6498.363134999278|
| Episode:  19 | Epsilon:  0.43 | Reward: -248.92539897726448 | Average Reward: -355.120 | Steps:  2254 | Total Reward: -6747.288533976546|
| Episode:  20 | Epsilon:  0.41 | Reward: -155.24199808391552 | Average Reward: -345.127 | Steps:  2381 | Total Reward: -6902.530532060459|
| Episode:  21 | Epsilon:  0.39 | Reward: -615.4963168999714 | Average Reward: -358.001 | Steps:  2596 | Total Reward: -7518.026848960431|
| Episode:  22 | Epsilon:  0.38 | Reward: -316.8902941107856 | Average Reward: -356.133 | Steps:  2747 | Total Reward: -7834.917143071218|
| Episode:  23 | Epsilon:  0.37 | Reward: -177.5102909206998 | Average Reward: -348.366 | Steps:  2837 | Total Reward: -8012.427433991917|
| Episode:  24 | Epsilon:  0.35 | Reward: -147.32919421461617 | Average Reward: -339.990 | Steps:  2941 | Total Reward: -8159.756628206534|
| Episode:  25 | Epsilon:  0.34 | Reward: -45.03838623944108 | Average Reward: -328.192 | Steps:  3092 | Total Reward: -8204.795014445972|
| Episode:  26 | Epsilon:  0.33 | Reward: -180.1915259432526 | Average Reward: -322.499 | Steps:  3310 | Total Reward: -8384.986540389225|
| Episode:  27 | Epsilon:  0.32 | Reward: -231.4451947585518 | Average Reward: -319.127 | Steps:  3407 | Total Reward: -8616.431735147778|
| Episode:  28 | Epsilon:  0.31 | Reward: -270.0964713372457 | Average Reward: -317.376 | Steps:  3541 | Total Reward: -8886.528206485018|
| Episode:  29 | Epsilon:  0.30 | Reward: -189.01217447855961 | Average Reward: -312.950 | Steps:  3742 | Total Reward: -9075.540380963574|
| Episode:  30 | Epsilon:  0.29 | Reward: -105.21044890877928 | Average Reward: -306.025 | Steps:  3835 | Total Reward: -9180.750829872346|
| Episode:  31 | Epsilon:  0.28 | Reward: -207.93211837963452 | Average Reward: -302.861 | Steps:  3950 | Total Reward: -9388.682948251982|
| Episode:  32 | Epsilon:  0.27 | Reward: -71.16350647991814 | Average Reward: -295.620 | Steps:  4078 | Total Reward: -9459.846454731905|
| Episode:  33 | Epsilon:  0.26 | Reward: -273.73239662307947 | Average Reward: -294.957 | Steps:  4223 | Total Reward: -9733.578851354983|
| Episode:  34 | Epsilon:  0.25 | Reward: -162.32933388642414 | Average Reward: -291.056 | Steps:  4351 | Total Reward: -9895.90818524141|
| Episode:  35 | Epsilon:  0.25 | Reward: -123.2778461806767 | Average Reward: -286.262 | Steps:  4513 | Total Reward: -10019.186031422078|
| Episode:  36 | Epsilon:  0.24 | Reward: -165.03222922702284 | Average Reward: -282.895 | Steps:  4637 | Total Reward: -10184.218260649108|
