+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
| Episode:   1 | Epsilon:  0.90 | Reward: -345.2415082396145 | Average Reward: -345.242 | Steps:   120 | Total Reward: -345.2415082396145|
| Episode:   2 | Epsilon:  0.86 | Reward: -291.72293937096674 | Average Reward: -318.482 | Steps:   218 | Total Reward: -636.9644476105806|
| Episode:   3 | Epsilon:  0.82 | Reward: -232.0296766444445 | Average Reward: -289.665 | Steps:   341 | Total Reward: -868.9941242550246|
| Episode:   4 | Epsilon:  0.79 | Reward: -88.43884428562956 | Average Reward: -239.358 | Steps:   409 | Total Reward: -957.4329685406535|
| Episode:   5 | Epsilon:  0.75 | Reward: -199.87173098384346 | Average Reward: -231.461 | Steps:   478 | Total Reward: -1157.304699524497|
| Episode:   6 | Epsilon:  0.72 | Reward: -122.76874913510204 | Average Reward: -213.346 | Steps:   543 | Total Reward: -1280.073448659598|
| Episode:   7 | Epsilon:  0.69 | Reward: -162.1853567830891 | Average Reward: -206.037 | Steps:   618 | Total Reward: -1442.2588054426867|
| Episode:   8 | Epsilon:  0.66 | Reward: -53.12026640743207 | Average Reward: -186.922 | Steps:   676 | Total Reward: -1495.3790718501195|
| Episode:   9 | Epsilon:  0.64 | Reward: -218.80640413232763 | Average Reward: -190.465 | Steps:   775 | Total Reward: -1714.1854759824473|
| Episode:  10 | Epsilon:  0.61 | Reward: -151.83948831789382 | Average Reward: -186.602 | Steps:   882 | Total Reward: -1866.0249643003397|
| Episode:  11 | Epsilon:  0.59 | Reward: -132.54022545608288 | Average Reward: -181.688 | Steps:   952 | Total Reward: -1998.565189756422|
| Episode:  12 | Epsilon:  0.56 | Reward: -134.06894889680188 | Average Reward: -177.720 | Steps:  1028 | Total Reward: -2132.634138653224|
| Episode:  13 | Epsilon:  0.54 | Reward: -89.17880559987732 | Average Reward: -170.909 | Steps:  1090 | Total Reward: -2221.8129442531013|
| Episode:  14 | Epsilon:  0.52 | Reward: -394.33589748703986 | Average Reward: -186.868 | Steps:  1196 | Total Reward: -2616.14884174014|
| Episode:  15 | Epsilon:  0.50 | Reward: -124.8807464996595 | Average Reward: -182.735 | Steps:  1299 | Total Reward: -2741.0295882397995|
| Episode:  16 | Epsilon:  0.48 | Reward: -110.9580950684094 | Average Reward: -178.249 | Steps:  1385 | Total Reward: -2851.9876833082076|
| Episode:  17 | Epsilon:  0.46 | Reward: -36.40312900369077 | Average Reward: -169.905 | Steps:  1509 | Total Reward: -2888.3908123118963|
| Episode:  18 | Epsilon:  0.44 | Reward: -141.8244410811702 | Average Reward: -168.345 | Steps:  1581 | Total Reward: -3030.215253393067|
| Episode:  19 | Epsilon:  0.43 | Reward: -307.8291702385077 | Average Reward: -175.687 | Steps:  1675 | Total Reward: -3338.0444236315734|
| Episode:  20 | Epsilon:  0.41 | Reward: -155.2152986379067 | Average Reward: -174.663 | Steps:  1740 | Total Reward: -3493.259722269479|
| Episode:  21 | Epsilon:  0.39 | Reward: -117.80739886998376 | Average Reward: -171.956 | Steps:  1836 | Total Reward: -3611.0671211394624|
| Episode:  22 | Epsilon:  0.38 | Reward: -99.3971531290919 | Average Reward: -168.657 | Steps:  1895 | Total Reward: -3710.4642742685537|
| Episode:  23 | Epsilon:  0.37 | Reward: -192.79424711229439 | Average Reward: -169.707 | Steps:  1957 | Total Reward: -3903.2585213808475|
| Episode:  24 | Epsilon:  0.35 | Reward: -295.1623760383409 | Average Reward: -174.934 | Steps:  2063 | Total Reward: -4198.420897419185|
| Episode:  25 | Epsilon:  0.34 | Reward: -705.8970248241925 | Average Reward: -196.173 | Steps:  2267 | Total Reward: -4904.317922243379|
| Episode:  26 | Epsilon:  0.33 | Reward: -98.77832759234641 | Average Reward: -192.427 | Steps:  3267 | Total Reward: -5003.096249835712|
| Episode:  27 | Epsilon:  0.32 | Reward: -58.79365012466222 | Average Reward: -187.477 | Steps:  4267 | Total Reward: -5061.88989996038|
| Episode:  28 | Epsilon:  0.31 | Reward: -49.522460624983395 | Average Reward: -182.550 | Steps:  5267 | Total Reward: -5111.4123605853665|
| Episode:  29 | Epsilon:  0.30 | Reward: -187.1748532481912 | Average Reward: -182.710 | Steps:  5936 | Total Reward: -5298.5872138335535|
| Episode:  30 | Epsilon:  0.29 | Reward: -95.58225821818985 | Average Reward: -179.806 | Steps:  6794 | Total Reward: -5394.16947205174|
| Episode:  31 | Epsilon:  0.28 | Reward: -98.8261604543525 | Average Reward: -177.193 | Steps:  7794 | Total Reward: -5492.9956325060875|
| Episode:  32 | Epsilon:  0.27 | Reward: 13.214127038457644 | Average Reward: -171.243 | Steps:  8794 | Total Reward: -5479.781505467638|
| Episode:  33 | Epsilon:  0.26 | Reward: -148.14299712064718 | Average Reward: -170.543 | Steps:  9361 | Total Reward: -5627.924502588282|
| Episode:  34 | Epsilon:  0.25 | Reward: 11.754464569931756 | Average Reward: -165.181 | Steps: 10361 | Total Reward: -5616.170038018339|
| Episode:  35 | Epsilon:  0.25 | Reward: 14.546602807123426 | Average Reward: -160.046 | Steps: 11361 | Total Reward: -5601.623435211216|
| Episode:  36 | Epsilon:  0.24 | Reward: -128.80405651007513 | Average Reward: -159.179 | Steps: 11711 | Total Reward: -5730.427491721299|
| Episode:  37 | Epsilon:  0.23 | Reward: -258.0501445043723 | Average Reward: -161.851 | Steps: 12571 | Total Reward: -5988.47763622567|
| Episode:  38 | Epsilon:  0.23 | Reward: -185.83890424614438 | Average Reward: -162.482 | Steps: 13186 | Total Reward: -6174.316540471798|
| Episode:  39 | Epsilon:  0.22 | Reward: -238.3759726886127 | Average Reward: -164.428 | Steps: 13995 | Total Reward: -6412.692513160402|
| Episode:  40 | Epsilon:  0.21 | Reward: -245.6767721209088 | Average Reward: -166.459 | Steps: 14744 | Total Reward: -6658.369285281302|
| Episode:  41 | Epsilon:  0.21 | Reward: -279.9697963599199 | Average Reward: -169.228 | Steps: 15246 | Total Reward: -6938.3390816412175|
| Episode:  42 | Epsilon:  0.20 | Reward: -86.031110913888 | Average Reward: -167.247 | Steps: 15535 | Total Reward: -7024.370192555113|
| Episode:  43 | Epsilon:  0.20 | Reward: -18.916146574822363 | Average Reward: -163.797 | Steps: 15817 | Total Reward: -7043.28633912993|
| Episode:  44 | Epsilon:  0.19 | Reward: -129.06901855310326 | Average Reward: -163.008 | Steps: 16817 | Total Reward: -7172.355357683028|
| Episode:  45 | Epsilon:  0.19 | Reward: -62.469198018200146 | Average Reward: -160.774 | Steps: 17068 | Total Reward: -7234.824555701223|
| Episode:  46 | Epsilon:  0.18 | Reward: -57.837290672887406 | Average Reward: -158.536 | Steps: 17268 | Total Reward: -7292.661846374107|
| Episode:  47 | Epsilon:  0.18 | Reward: 65.87094833399306 | Average Reward: -153.762 | Steps: 17982 | Total Reward: -7226.790898040111|
| Episode:  48 | Epsilon:  0.18 | Reward: -12.162870720208378 | Average Reward: -150.812 | Steps: 18982 | Total Reward: -7238.953768760313|
| Episode:  49 | Epsilon:  0.17 | Reward: -15.94408691103909 | Average Reward: -148.059 | Steps: 19982 | Total Reward: -7254.897855671352|
| Episode:  50 | Epsilon:  0.17 | Reward: -268.00682931043866 | Average Reward: -150.458 | Steps: 20135 | Total Reward: -7522.904684981784|
| Episode:  51 | Epsilon:  0.17 | Reward: 234.07739812653767 | Average Reward: -142.918 | Steps: 21084 | Total Reward: -7288.827286855231|
| Episode:  52 | Epsilon:  0.16 | Reward: 162.65103440534233 | Average Reward: -137.042 | Steps: 22084 | Total Reward: -7126.176252449881|
| Episode:  53 | Epsilon:  0.16 | Reward: -37.41398125598846 | Average Reward: -135.162 | Steps: 22332 | Total Reward: -7163.59023370587|
| Episode:  54 | Epsilon:  0.16 | Reward: 2.207091942373026 | Average Reward: -132.618 | Steps: 22567 | Total Reward: -7161.383141763492|
| Episode:  55 | Epsilon:  0.15 | Reward: 17.436525221020773 | Average Reward: -129.890 | Steps: 22768 | Total Reward: -7143.9466165424665|
| Episode:  56 | Epsilon:  0.15 | Reward: -195.3239018230655 | Average Reward: -131.058 | Steps: 22932 | Total Reward: -7339.2705183655335|
| Episode:  57 | Epsilon:  0.15 | Reward: -490.8818681738937 | Average Reward: -137.371 | Steps: 23144 | Total Reward: -7830.152386539425|
