+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
| Episode:   1 | Epsilon:  0.90 | Reward: -370.9738943835657 | Average Reward: -370.974 | Steps:   104 | Total Reward: -370.9738943835657|
| Episode:   2 | Epsilon:  0.86 | Reward: -110.25077592127029 | Average Reward: -240.612 | Steps:   173 | Total Reward: -481.22467030483557|
| Episode:   3 | Epsilon:  0.82 | Reward: -129.3296114005249 | Average Reward: -203.518 | Steps:   262 | Total Reward: -610.5542817053597|
| Episode:   4 | Epsilon:  0.79 | Reward: -78.0654721349345 | Average Reward: -172.155 | Steps:   320 | Total Reward: -688.6197538402942|
| Episode:   5 | Epsilon:  0.75 | Reward: -160.8572131331472 | Average Reward: -169.895 | Steps:   387 | Total Reward: -849.4769669734411|
| Episode:   6 | Epsilon:  0.72 | Reward: -81.2913296229247 | Average Reward: -155.128 | Steps:   443 | Total Reward: -930.7682965963654|
| Episode:   7 | Epsilon:  0.69 | Reward: -92.62475712559416 | Average Reward: -146.199 | Steps:   533 | Total Reward: -1023.3930537219595|
| Episode:   8 | Epsilon:  0.66 | Reward: -131.6020538933021 | Average Reward: -144.374 | Steps:   626 | Total Reward: -1154.995107615261|
| Episode:   9 | Epsilon:  0.64 | Reward: -82.06900056989562 | Average Reward: -137.452 | Steps:   684 | Total Reward: -1237.0641081851552|
| Episode:  10 | Epsilon:  0.61 | Reward: -131.9035967097331 | Average Reward: -136.897 | Steps:   788 | Total Reward: -1368.9677048948884|
| Episode:  11 | Epsilon:  0.59 | Reward: -106.35793258143151 | Average Reward: -134.121 | Steps:   895 | Total Reward: -1475.3256374763196|
| Episode:  12 | Epsilon:  0.56 | Reward: -309.37758318965416 | Average Reward: -148.725 | Steps:   998 | Total Reward: -1784.7032206659726|
| Episode:  13 | Epsilon:  0.54 | Reward: -256.8841411646674 | Average Reward: -157.045 | Steps:  1079 | Total Reward: -2041.58736183064|
| Episode:  14 | Epsilon:  0.52 | Reward: -361.9024472011576 | Average Reward: -171.678 | Steps:  1171 | Total Reward: -2403.489809031796|
| Episode:  15 | Epsilon:  0.50 | Reward: -135.22269046576048 | Average Reward: -169.247 | Steps:  1265 | Total Reward: -2538.7124994975575|
| Episode:  16 | Epsilon:  0.48 | Reward: -199.3176644154334 | Average Reward: -171.127 | Steps:  1344 | Total Reward: -2738.0301639129907|
| Episode:  17 | Epsilon:  0.46 | Reward: -256.3576195847111 | Average Reward: -176.140 | Steps:  1444 | Total Reward: -2994.387783497701|
| Episode:  18 | Epsilon:  0.44 | Reward: -252.65118772252688 | Average Reward: -180.391 | Steps:  1540 | Total Reward: -3247.0389712202286|
| Episode:  19 | Epsilon:  0.43 | Reward: -100.76328344303865 | Average Reward: -176.200 | Steps:  1633 | Total Reward: -3347.8022546632674|
| Episode:  20 | Epsilon:  0.41 | Reward: -90.29032075765288 | Average Reward: -171.905 | Steps:  1691 | Total Reward: -3438.09257542092|
| Episode:  21 | Epsilon:  0.39 | Reward: -136.230253985366 | Average Reward: -170.206 | Steps:  1773 | Total Reward: -3574.3228294062837|
