+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
| Episode:  40 | Epsilon:  0.21 | Reward: -137.8281430772755 | Average Reward: -309.011 | Steps:  3172 | Total Reward: -12360.43346822109|
| Episode:  41 | Epsilon:  0.21 | Reward: -140.09619619440244 | Average Reward: -304.891 | Steps:  3248 | Total Reward: -12500.52966441549|
| Episode:  42 | Epsilon:  0.20 | Reward: -103.40643395482087 | Average Reward: -300.094 | Steps:  3312 | Total Reward: -12603.936098370314|
| Episode:  43 | Epsilon:  0.20 | Reward: -168.60168499942677 | Average Reward: -297.036 | Steps:  3384 | Total Reward: -12772.537783369742|
| Episode:  44 | Epsilon:  0.19 | Reward: -113.80006292311492 | Average Reward: -292.871 | Steps:  3445 | Total Reward: -12886.337846292858|
| Episode:  45 | Epsilon:  0.19 | Reward: -160.63280279470766 | Average Reward: -289.933 | Steps:  3506 | Total Reward: -13046.97064908756|
| Episode:  46 | Epsilon:  0.18 | Reward: -152.6657621503871 | Average Reward: -286.949 | Steps:  3595 | Total Reward: -13199.636411237942|
| Episode:  47 | Epsilon:  0.18 | Reward: 17.983184012866104 | Average Reward: -280.461 | Steps:  3700 | Total Reward: -13181.65322722507|
| Episode:  48 | Epsilon:  0.18 | Reward: -163.13971473219829 | Average Reward: -278.017 | Steps:  3790 | Total Reward: -13344.792941957268|
| Episode:  49 | Epsilon:  0.17 | Reward: -164.4090717320615 | Average Reward: -275.698 | Steps:  3869 | Total Reward: -13509.202013689332|
| Episode:  50 | Epsilon:  0.17 | Reward: -93.3146004929428 | Average Reward: -272.050 | Steps:  3926 | Total Reward: -13602.51661418227|
| Episode:  51 | Epsilon:  0.17 | Reward: -158.25097627092134 | Average Reward: -269.819 | Steps:  4020 | Total Reward: -13760.767590453184|
| Episode:  52 | Epsilon:  0.16 | Reward: -103.81044791615163 | Average Reward: -266.627 | Steps:  4080 | Total Reward: -13864.578038369336|
| Episode:  53 | Epsilon:  0.16 | Reward: -89.13207940362555 | Average Reward: -263.278 | Steps:  4175 | Total Reward: -13953.710117772962|
| Episode:  54 | Epsilon:  0.16 | Reward: -193.83087655578092 | Average Reward: -261.991 | Steps:  4249 | Total Reward: -14147.540994328747|
| Episode:  55 | Epsilon:  0.15 | Reward: -123.63491400556254 | Average Reward: -259.476 | Steps:  4342 | Total Reward: -14271.175908334308|
| Episode:  56 | Epsilon:  0.15 | Reward: -143.69514156554948 | Average Reward: -257.408 | Steps:  4424 | Total Reward: -14414.871049899857|
| Episode:  57 | Epsilon:  0.15 | Reward: -89.1617568890047 | Average Reward: -254.457 | Steps:  4482 | Total Reward: -14504.032806788862|
| Episode:  58 | Epsilon:  0.15 | Reward: -137.02322065381398 | Average Reward: -252.432 | Steps:  4566 | Total Reward: -14641.056027442679|
| Episode:  59 | Epsilon:  0.14 | Reward: -153.3408872535765 | Average Reward: -250.752 | Steps:  4620 | Total Reward: -14794.396914696257|
| Episode:  60 | Epsilon:  0.14 | Reward: -126.82524975030564 | Average Reward: -248.687 | Steps:  4681 | Total Reward: -14921.222164446555|
| Episode:  61 | Epsilon:  0.14 | Reward: -161.05169561385568 | Average Reward: -247.250 | Steps:  4746 | Total Reward: -15082.273860060417|
| Episode:  62 | Epsilon:  0.14 | Reward: -139.76510598961423 | Average Reward: -245.517 | Steps:  4821 | Total Reward: -15222.038966050035|
| Episode:  63 | Epsilon:  0.14 | Reward: -157.58239845821626 | Average Reward: -244.121 | Steps:  4885 | Total Reward: -15379.621364508253|
| Episode:  64 | Epsilon:  0.13 | Reward: -232.0611513646363 | Average Reward: -243.933 | Steps:  4972 | Total Reward: -15611.682515872886|
| Episode:  65 | Epsilon:  0.13 | Reward: -117.25806824022811 | Average Reward: -241.984 | Steps:  5034 | Total Reward: -15728.940584113117|
| Episode:  66 | Epsilon:  0.13 | Reward: -82.81809692783219 | Average Reward: -239.572 | Steps:  5089 | Total Reward: -15811.758681040943|
| Episode:  67 | Epsilon:  0.13 | Reward: -200.06102471723221 | Average Reward: -238.982 | Steps:  5169 | Total Reward: -16011.819705758175|
| Episode:  68 | Epsilon:  0.13 | Reward: -140.25620342604614 | Average Reward: -237.531 | Steps:  5250 | Total Reward: -16152.075909184216|
| Episode:  69 | Epsilon:  0.13 | Reward: -159.9437391526772 | Average Reward: -236.406 | Steps:  5312 | Total Reward: -16312.019648336898|
| Episode:  70 | Epsilon:  0.13 | Reward: -133.79588090930494 | Average Reward: -234.940 | Steps:  5370 | Total Reward: -16445.81552924621|
| Episode:  71 | Epsilon:  0.12 | Reward: -120.53088336636756 | Average Reward: -233.329 | Steps:  5448 | Total Reward: -16566.34641261258|
| Episode:  72 | Epsilon:  0.12 | Reward: -80.11675854065209 | Average Reward: -231.201 | Steps:  5504 | Total Reward: -16646.463171153235|
| Episode:  73 | Epsilon:  0.12 | Reward: -136.5925099588029 | Average Reward: -229.905 | Steps:  5580 | Total Reward: -16783.055681112026|
| Episode:  74 | Epsilon:  0.12 | Reward: -173.6858170530105 | Average Reward: -229.145 | Steps:  5646 | Total Reward: -16956.741498165036|
| Episode:  75 | Epsilon:  0.12 | Reward: -156.82229580745943 | Average Reward: -228.181 | Steps:  5704 | Total Reward: -17113.56379397249|
| Episode:  76 | Epsilon:  0.12 | Reward: -145.23290092030976 | Average Reward: -227.089 | Steps:  5759 | Total Reward: -17258.796694892808|
| Episode:  77 | Epsilon:  0.12 | Reward: -139.192489102811 | Average Reward: -225.948 | Steps:  5826 | Total Reward: -17397.98918399562|
| Episode:  78 | Epsilon:  0.12 | Reward: -336.1021602747353 | Average Reward: -227.360 | Steps:  5894 | Total Reward: -17734.091344270364|
| Episode:  79 | Epsilon:  0.12 | Reward: -136.78120188176976 | Average Reward: -226.214 | Steps:  5972 | Total Reward: -17870.87254615212|
| Episode:  80 | Epsilon:  0.12 | Reward: -147.2062845721913 | Average Reward: -225.226 | Steps:  6043 | Total Reward: -18018.078830724317|
| Episode:  81 | Epsilon:  0.11 | Reward: -129.30694553450064 | Average Reward: -224.042 | Steps:  6112 | Total Reward: -18147.385776258823|
| Episode:  82 | Epsilon:  0.11 | Reward: -181.48760989298728 | Average Reward: -223.523 | Steps:  6180 | Total Reward: -18328.873386151816|
| Episode:  83 | Epsilon:  0.11 | Reward: -90.38521726845562 | Average Reward: -221.919 | Steps:  6233 | Total Reward: -18419.25860342027|
| Episode:  84 | Epsilon:  0.11 | Reward: -520.1054374295418 | Average Reward: -225.469 | Steps:  6333 | Total Reward: -18939.364040849796|
| Episode:  85 | Epsilon:  0.11 | Reward: -109.47380712743227 | Average Reward: -224.104 | Steps:  6384 | Total Reward: -19048.837847977222|
| Episode:  86 | Epsilon:  0.11 | Reward: -126.32557937570317 | Average Reward: -222.967 | Steps:  6462 | Total Reward: -19175.163427352913|
| Episode:  87 | Epsilon:  0.11 | Reward: -275.0608869686094 | Average Reward: -223.566 | Steps:  6544 | Total Reward: -19450.224314321535|
