+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
| Episode:   1 | Epsilon:  0.90 | Reward: -149.02764171651646 | Average Reward: -149.028 | Steps:   111 | Total Reward: -149.02764171651646|
| Episode:   2 | Epsilon:  0.86 | Reward: -75.91221506948119 | Average Reward: -112.470 | Steps:   172 | Total Reward: -224.9398567859978|
| Episode:   3 | Epsilon:  0.82 | Reward: -122.53950033016673 | Average Reward: -115.826 | Steps:   268 | Total Reward: -347.47935711616446|
| Episode:   4 | Epsilon:  0.79 | Reward: -143.19575248680184 | Average Reward: -122.669 | Steps:   340 | Total Reward: -490.6751096029662|
| Episode:   5 | Epsilon:  0.75 | Reward: -82.51194678587389 | Average Reward: -114.637 | Steps:   403 | Total Reward: -573.1870563888401|
| Episode:   6 | Epsilon:  0.72 | Reward: -162.52938666118524 | Average Reward: -122.619 | Steps:   474 | Total Reward: -735.7164430500251|
| Episode:   7 | Epsilon:  0.69 | Reward: -112.48458095430802 | Average Reward: -121.172 | Steps:   543 | Total Reward: -848.2010240043326|
| Episode:   8 | Epsilon:  0.66 | Reward: -126.73096906150067 | Average Reward: -121.866 | Steps:   625 | Total Reward: -974.9319930658327|
| Episode:   9 | Epsilon:  0.64 | Reward: -84.67492258141915 | Average Reward: -117.734 | Steps:   682 | Total Reward: -1059.6069156472515|
| Episode:  10 | Epsilon:  0.61 | Reward: -48.3737418762431 | Average Reward: -110.798 | Steps:   771 | Total Reward: -1107.9806575234952|
| Episode:  11 | Epsilon:  0.59 | Reward: -278.2782026412136 | Average Reward: -126.024 | Steps:   852 | Total Reward: -1386.2588601647083|
| Episode:  12 | Epsilon:  0.56 | Reward: -91.02774579313622 | Average Reward: -123.107 | Steps:   904 | Total Reward: -1477.2866059578446|
| Episode:  13 | Epsilon:  0.54 | Reward: -119.4822403391426 | Average Reward: -122.828 | Steps:   981 | Total Reward: -1596.768846296987|
| Episode:  14 | Epsilon:  0.52 | Reward: -115.72574624508152 | Average Reward: -122.321 | Steps:  1089 | Total Reward: -1712.4945925420684|
| Episode:  15 | Epsilon:  0.50 | Reward: -108.01153842400646 | Average Reward: -121.367 | Steps:  1174 | Total Reward: -1820.506130966074|
| Episode:  16 | Epsilon:  0.48 | Reward: -160.2521255198538 | Average Reward: -123.797 | Steps:  1261 | Total Reward: -1980.7582564859279|
| Episode:  17 | Epsilon:  0.46 | Reward: -103.4114498754854 | Average Reward: -122.598 | Steps:  1318 | Total Reward: -2084.169706361413|
| Episode:  18 | Epsilon:  0.44 | Reward: -110.43080978332682 | Average Reward: -121.922 | Steps:  1384 | Total Reward: -2194.6005161447406|
| Episode:  19 | Epsilon:  0.43 | Reward: -107.12942953732711 | Average Reward: -121.144 | Steps:  1438 | Total Reward: -2301.729945682067|
| Episode:  20 | Epsilon:  0.41 | Reward: -141.63320179752736 | Average Reward: -122.168 | Steps:  1517 | Total Reward: -2443.363147479594|
| Episode:  21 | Epsilon:  0.39 | Reward: -217.70619825870403 | Average Reward: -126.718 | Steps:  1591 | Total Reward: -2661.069345738299|
| Episode:  22 | Epsilon:  0.38 | Reward: -81.83321543590915 | Average Reward: -124.677 | Steps:  1647 | Total Reward: -2742.902561174209|
| Episode:  23 | Epsilon:  0.37 | Reward: -148.70571321249506 | Average Reward: -125.722 | Steps:  1721 | Total Reward: -2891.6082743867028|
| Episode:  24 | Epsilon:  0.35 | Reward: -86.63326789215947 | Average Reward: -124.093 | Steps:  1780 | Total Reward: -2978.2415422788627|
| Episode:  25 | Epsilon:  0.34 | Reward: -92.82613107368371 | Average Reward: -122.843 | Steps:  1836 | Total Reward: -3071.0676733525465|
| Episode:  26 | Epsilon:  0.33 | Reward: -142.57130112926822 | Average Reward: -123.601 | Steps:  1932 | Total Reward: -3213.6389744818157|
| Episode:  27 | Epsilon:  0.32 | Reward: -85.69678407195687 | Average Reward: -122.198 | Steps:  1985 | Total Reward: -3299.335758553771|
| Episode:  28 | Epsilon:  0.31 | Reward: -342.6825249896351 | Average Reward: -130.072 | Steps:  2073 | Total Reward: -3642.018283543404|
| Episode:  29 | Epsilon:  0.30 | Reward: -362.82942556415935 | Average Reward: -138.098 | Steps:  2163 | Total Reward: -4004.8477091075633|
| Episode:  30 | Epsilon:  0.29 | Reward: -470.8418463215196 | Average Reward: -149.190 | Steps:  2289 | Total Reward: -4475.689555429081|
| Episode:  31 | Epsilon:  0.28 | Reward: -331.92748399573907 | Average Reward: -155.084 | Steps:  2414 | Total Reward: -4807.617039424813|
| Episode:  32 | Epsilon:  0.27 | Reward: -1479.8286850374295 | Average Reward: -196.483 | Steps:  2577 | Total Reward: -6287.445724462248|
