| Episode:  51 | Epsilon:  0.17 | Reward:  13.0 | Average Reward: 12.902 | Steps:   658 | Total Reward: 658.0|
| Episode:  52 | Epsilon:  0.16 | Reward:  10.0 | Average Reward: 12.846 | Steps:   668 | Total Reward: 668.0|
| Episode:  53 | Epsilon:  0.16 | Reward:   8.0 | Average Reward: 12.755 | Steps:   676 | Total Reward: 676.0|
| Episode:  54 | Epsilon:  0.16 | Reward:  10.0 | Average Reward: 12.704 | Steps:   686 | Total Reward: 686.0|
| Episode:  55 | Epsilon:  0.15 | Reward:   8.0 | Average Reward: 12.618 | Steps:   694 | Total Reward: 694.0|
| Episode:  56 | Epsilon:  0.15 | Reward:  12.0 | Average Reward: 12.607 | Steps:   706 | Total Reward: 706.0|
| Episode:  57 | Epsilon:  0.15 | Reward:  10.0 | Average Reward: 12.561 | Steps:   716 | Total Reward: 716.0|
| Episode:  58 | Epsilon:  0.15 | Reward:   9.0 | Average Reward: 12.500 | Steps:   725 | Total Reward: 725.0|
| Episode:  59 | Epsilon:  0.14 | Reward:  10.0 | Average Reward: 12.458 | Steps:   735 | Total Reward: 735.0|
| Episode:  60 | Epsilon:  0.14 | Reward:  12.0 | Average Reward: 12.450 | Steps:   747 | Total Reward: 747.0|
| Episode:  61 | Epsilon:  0.14 | Reward:  10.0 | Average Reward: 12.410 | Steps:   757 | Total Reward: 757.0|
| Episode:  62 | Epsilon:  0.14 | Reward:  11.0 | Average Reward: 12.387 | Steps:   768 | Total Reward: 768.0|
| Episode:  63 | Epsilon:  0.14 | Reward:  13.0 | Average Reward: 12.397 | Steps:   781 | Total Reward: 781.0|
| Episode:  64 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 12.344 | Steps:   790 | Total Reward: 790.0|
| Episode:  65 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 12.292 | Steps:   799 | Total Reward: 799.0|
| Episode:  66 | Epsilon:  0.13 | Reward:  11.0 | Average Reward: 12.273 | Steps:   810 | Total Reward: 810.0|
| Episode:  67 | Epsilon:  0.13 | Reward:  11.0 | Average Reward: 12.254 | Steps:   821 | Total Reward: 821.0|
| Episode:  68 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 12.221 | Steps:   831 | Total Reward: 831.0|
| Episode:  69 | Epsilon:  0.13 | Reward:  16.0 | Average Reward: 12.275 | Steps:   847 | Total Reward: 847.0|
| Episode:  70 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 12.229 | Steps:   856 | Total Reward: 856.0|
| Episode:  71 | Epsilon:  0.12 | Reward:  11.0 | Average Reward: 12.211 | Steps:   867 | Total Reward: 867.0|
| Episode:  72 | Epsilon:  0.12 | Reward:   9.0 | Average Reward: 12.167 | Steps:   876 | Total Reward: 876.0|
| Episode:  73 | Epsilon:  0.12 | Reward:  11.0 | Average Reward: 12.151 | Steps:   887 | Total Reward: 887.0|
| Episode:  74 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 12.122 | Steps:   897 | Total Reward: 897.0|
