| Episode:  51 | Epsilon:  0.17 | Reward:  10.0 | Average Reward: 13.745 | Steps:   701 | Total Reward: 701.0|
| Episode:  52 | Epsilon:  0.16 | Reward:  10.0 | Average Reward: 13.673 | Steps:   711 | Total Reward: 711.0|
| Episode:  53 | Epsilon:  0.16 | Reward:   9.0 | Average Reward: 13.585 | Steps:   720 | Total Reward: 720.0|
| Episode:  54 | Epsilon:  0.16 | Reward:  10.0 | Average Reward: 13.519 | Steps:   730 | Total Reward: 730.0|
| Episode:  55 | Epsilon:  0.15 | Reward:   9.0 | Average Reward: 13.436 | Steps:   739 | Total Reward: 739.0|
| Episode:  56 | Epsilon:  0.15 | Reward:  10.0 | Average Reward: 13.375 | Steps:   749 | Total Reward: 749.0|
| Episode:  57 | Epsilon:  0.15 | Reward:  10.0 | Average Reward: 13.316 | Steps:   759 | Total Reward: 759.0|
| Episode:  58 | Epsilon:  0.15 | Reward:  11.0 | Average Reward: 13.276 | Steps:   770 | Total Reward: 770.0|
| Episode:  59 | Epsilon:  0.14 | Reward:   9.0 | Average Reward: 13.203 | Steps:   779 | Total Reward: 779.0|
| Episode:  60 | Epsilon:  0.14 | Reward:  11.0 | Average Reward: 13.167 | Steps:   790 | Total Reward: 790.0|
| Episode:  61 | Epsilon:  0.14 | Reward:   9.0 | Average Reward: 13.098 | Steps:   799 | Total Reward: 799.0|
| Episode:  62 | Epsilon:  0.14 | Reward:  16.0 | Average Reward: 13.145 | Steps:   815 | Total Reward: 815.0|
| Episode:  63 | Epsilon:  0.14 | Reward:   9.0 | Average Reward: 13.079 | Steps:   824 | Total Reward: 824.0|
| Episode:  64 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 13.016 | Steps:   833 | Total Reward: 833.0|
| Episode:  65 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 12.969 | Steps:   843 | Total Reward: 843.0|
| Episode:  66 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 12.924 | Steps:   853 | Total Reward: 853.0|
| Episode:  67 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 12.881 | Steps:   863 | Total Reward: 863.0|
| Episode:  68 | Epsilon:  0.13 | Reward:  11.0 | Average Reward: 12.853 | Steps:   874 | Total Reward: 874.0|
| Episode:  69 | Epsilon:  0.13 | Reward:  13.0 | Average Reward: 12.855 | Steps:   887 | Total Reward: 887.0|
| Episode:  70 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 12.800 | Steps:   896 | Total Reward: 896.0|
| Episode:  71 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 12.761 | Steps:   906 | Total Reward: 906.0|
| Episode:  72 | Epsilon:  0.12 | Reward:  12.0 | Average Reward: 12.750 | Steps:   918 | Total Reward: 918.0|
| Episode:  73 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 12.712 | Steps:   928 | Total Reward: 928.0|
| Episode:  74 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 12.676 | Steps:   938 | Total Reward: 938.0|
| Episode:  75 | Epsilon:  0.12 | Reward:   8.0 | Average Reward: 12.613 | Steps:   946 | Total Reward: 946.0|
| Episode:  76 | Epsilon:  0.12 | Reward:   9.0 | Average Reward: 12.566 | Steps:   955 | Total Reward: 955.0|
| Episode:  77 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 12.532 | Steps:   965 | Total Reward: 965.0|
| Episode:  78 | Epsilon:  0.12 | Reward:   9.0 | Average Reward: 12.487 | Steps:   974 | Total Reward: 974.0|
| Episode:  79 | Epsilon:  0.12 | Reward:   9.0 | Average Reward: 12.443 | Steps:   983 | Total Reward: 983.0|
| Episode:  80 | Epsilon:  0.12 | Reward:  11.0 | Average Reward: 12.425 | Steps:   994 | Total Reward: 994.0|
| Episode:  81 | Epsilon:  0.11 | Reward:  11.0 | Average Reward: 12.407 | Steps:  1005 | Total Reward: 1005.0|
| Episode:  82 | Epsilon:  0.11 | Reward:  12.0 | Average Reward: 12.402 | Steps:  1017 | Total Reward: 1017.0|
| Episode:  83 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 12.361 | Steps:  1026 | Total Reward: 1026.0|
| Episode:  84 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.333 | Steps:  1036 | Total Reward: 1036.0|
| Episode:  85 | Epsilon:  0.11 | Reward:  11.0 | Average Reward: 12.318 | Steps:  1047 | Total Reward: 1047.0|
| Episode:  86 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.291 | Steps:  1057 | Total Reward: 1057.0|
| Episode:  87 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.264 | Steps:  1067 | Total Reward: 1067.0|
| Episode:  88 | Epsilon:  0.11 | Reward:  11.0 | Average Reward: 12.250 | Steps:  1078 | Total Reward: 1078.0|
| Episode:  89 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 12.213 | Steps:  1087 | Total Reward: 1087.0|
| Episode:  90 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.189 | Steps:  1097 | Total Reward: 1097.0|
| Episode:  91 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 12.154 | Steps:  1106 | Total Reward: 1106.0|
| Episode:  92 | Epsilon:  0.11 | Reward:   8.0 | Average Reward: 12.109 | Steps:  1114 | Total Reward: 1114.0|
| Episode:  93 | Epsilon:  0.11 | Reward:  14.0 | Average Reward: 12.129 | Steps:  1128 | Total Reward: 1128.0|
| Episode:  94 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 12.096 | Steps:  1137 | Total Reward: 1137.0|
| Episode:  95 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.074 | Steps:  1147 | Total Reward: 1147.0|
| Episode:  96 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 12.042 | Steps:  1156 | Total Reward: 1156.0|
| Episode:  97 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.021 | Steps:  1166 | Total Reward: 1166.0|
| Episode:  98 | Epsilon:  0.11 | Reward:  11.0 | Average Reward: 12.010 | Steps:  1177 | Total Reward: 1177.0|
| Episode:  99 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.980 | Steps:  1186 | Total Reward: 1186.0|
| Episode: 100 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.950 | Steps:  1195 | Total Reward: 1195.0|
| Episode: 101 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 11.910 | Steps:  1205 | Total Reward: 1205.0|
| Episode: 102 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.770 | Steps:  1214 | Total Reward: 1214.0|
| Episode: 103 | Epsilon:  0.10 | Reward:  11.0 | Average Reward: 11.680 | Steps:  1225 | Total Reward: 1225.0|
| Episode: 104 | Epsilon:  0.10 | Reward:   8.0 | Average Reward: 11.450 | Steps:  1233 | Total Reward: 1233.0|
| Episode: 105 | Epsilon:  0.10 | Reward:  11.0 | Average Reward: 11.360 | Steps:  1244 | Total Reward: 1244.0|
| Episode: 106 | Epsilon:  0.10 | Reward:   9.0 | Average Reward: 11.170 | Steps:  1253 | Total Reward: 1253.0|
| Episode: 107 | Epsilon:  0.10 | Reward:  11.0 | Average Reward: 10.840 | Steps:  1264 | Total Reward: 1264.0|
| Episode: 108 | Epsilon:  0.10 | Reward:  10.0 | Average Reward: 10.810 | Steps:  1274 | Total Reward: 1274.0|
