| Episode:  51 | Epsilon:  0.17 | Reward:  12.0 | Average Reward: 12.824 | Steps:   654 | Total Reward: 654.0|
| Episode:  52 | Epsilon:  0.16 | Reward:  11.0 | Average Reward: 12.788 | Steps:   665 | Total Reward: 665.0|
| Episode:  53 | Epsilon:  0.16 | Reward:  10.0 | Average Reward: 12.736 | Steps:   675 | Total Reward: 675.0|
| Episode:  54 | Epsilon:  0.16 | Reward:   9.0 | Average Reward: 12.667 | Steps:   684 | Total Reward: 684.0|
| Episode:  55 | Epsilon:  0.15 | Reward:  10.0 | Average Reward: 12.618 | Steps:   694 | Total Reward: 694.0|
| Episode:  56 | Epsilon:  0.15 | Reward:   9.0 | Average Reward: 12.554 | Steps:   703 | Total Reward: 703.0|
| Episode:  57 | Epsilon:  0.15 | Reward:  12.0 | Average Reward: 12.544 | Steps:   715 | Total Reward: 715.0|
| Episode:  58 | Epsilon:  0.15 | Reward:  14.0 | Average Reward: 12.569 | Steps:   729 | Total Reward: 729.0|
| Episode:  59 | Epsilon:  0.14 | Reward:   9.0 | Average Reward: 12.508 | Steps:   738 | Total Reward: 738.0|
| Episode:  60 | Epsilon:  0.14 | Reward:   9.0 | Average Reward: 12.450 | Steps:   747 | Total Reward: 747.0|
| Episode:  61 | Epsilon:  0.14 | Reward:  12.0 | Average Reward: 12.443 | Steps:   759 | Total Reward: 759.0|
| Episode:  62 | Epsilon:  0.14 | Reward:  10.0 | Average Reward: 12.403 | Steps:   769 | Total Reward: 769.0|
| Episode:  63 | Epsilon:  0.14 | Reward:   8.0 | Average Reward: 12.333 | Steps:   777 | Total Reward: 777.0|
| Episode:  64 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 12.297 | Steps:   787 | Total Reward: 787.0|
| Episode:  65 | Epsilon:  0.13 | Reward:   8.0 | Average Reward: 12.231 | Steps:   795 | Total Reward: 795.0|
| Episode:  66 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 12.182 | Steps:   804 | Total Reward: 804.0|
| Episode:  67 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 12.134 | Steps:   813 | Total Reward: 813.0|
| Episode:  68 | Epsilon:  0.13 | Reward:  13.0 | Average Reward: 12.147 | Steps:   826 | Total Reward: 826.0|
| Episode:  69 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 12.116 | Steps:   836 | Total Reward: 836.0|
| Episode:  70 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 12.071 | Steps:   845 | Total Reward: 845.0|
| Episode:  71 | Epsilon:  0.12 | Reward:   9.0 | Average Reward: 12.028 | Steps:   854 | Total Reward: 854.0|
| Episode:  72 | Epsilon:  0.12 | Reward:  11.0 | Average Reward: 12.014 | Steps:   865 | Total Reward: 865.0|
| Episode:  73 | Epsilon:  0.12 | Reward:  12.0 | Average Reward: 12.014 | Steps:   877 | Total Reward: 877.0|
| Episode:  74 | Epsilon:  0.12 | Reward:  11.0 | Average Reward: 12.000 | Steps:   888 | Total Reward: 888.0|
| Episode:  75 | Epsilon:  0.12 | Reward:  11.0 | Average Reward: 11.987 | Steps:   899 | Total Reward: 899.0|
| Episode:  76 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 11.961 | Steps:   909 | Total Reward: 909.0|
| Episode:  77 | Epsilon:  0.12 | Reward:   9.0 | Average Reward: 11.922 | Steps:   918 | Total Reward: 918.0|
| Episode:  78 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 11.897 | Steps:   928 | Total Reward: 928.0|
| Episode:  79 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 11.873 | Steps:   938 | Total Reward: 938.0|
| Episode:  80 | Epsilon:  0.12 | Reward:  11.0 | Average Reward: 11.863 | Steps:   949 | Total Reward: 949.0|
| Episode:  81 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.827 | Steps:   958 | Total Reward: 958.0|
| Episode:  82 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.793 | Steps:   967 | Total Reward: 967.0|
| Episode:  83 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.759 | Steps:   976 | Total Reward: 976.0|
| Episode:  84 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.726 | Steps:   985 | Total Reward: 985.0|
| Episode:  85 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.694 | Steps:   994 | Total Reward: 994.0|
| Episode:  86 | Epsilon:  0.11 | Reward:  12.0 | Average Reward: 11.698 | Steps:  1006 | Total Reward: 1006.0|
| Episode:  87 | Epsilon:  0.11 | Reward:  16.0 | Average Reward: 11.747 | Steps:  1022 | Total Reward: 1022.0|
| Episode:  88 | Epsilon:  0.11 | Reward:  14.0 | Average Reward: 11.773 | Steps:  1036 | Total Reward: 1036.0|
| Episode:  89 | Epsilon:  0.11 | Reward:  11.0 | Average Reward: 11.764 | Steps:  1047 | Total Reward: 1047.0|
| Episode:  90 | Epsilon:  0.11 | Reward:  13.0 | Average Reward: 11.778 | Steps:  1060 | Total Reward: 1060.0|
| Episode:  91 | Epsilon:  0.11 | Reward:  48.0 | Average Reward: 12.176 | Steps:  1108 | Total Reward: 1108.0|
| Episode:  92 | Epsilon:  0.11 | Reward:  11.0 | Average Reward: 12.163 | Steps:  1119 | Total Reward: 1119.0|
| Episode:  93 | Epsilon:  0.11 | Reward:  14.0 | Average Reward: 12.183 | Steps:  1133 | Total Reward: 1133.0|
| Episode:  94 | Epsilon:  0.11 | Reward:  16.0 | Average Reward: 12.223 | Steps:  1149 | Total Reward: 1149.0|
| Episode:  95 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.200 | Steps:  1159 | Total Reward: 1159.0|
| Episode:  96 | Epsilon:  0.11 | Reward:  16.0 | Average Reward: 12.240 | Steps:  1175 | Total Reward: 1175.0|
| Episode:  97 | Epsilon:  0.11 | Reward:  13.0 | Average Reward: 12.247 | Steps:  1188 | Total Reward: 1188.0|
| Episode:  98 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 12.214 | Steps:  1197 | Total Reward: 1197.0|
| Episode:  99 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.192 | Steps:  1207 | Total Reward: 1207.0|
| Episode: 100 | Epsilon:  0.11 | Reward:  13.0 | Average Reward: 12.200 | Steps:  1220 | Total Reward: 1220.0|
| Episode: 101 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.080 | Steps:  1230 | Total Reward: 1230.0|
| Episode: 102 | Epsilon:  0.11 | Reward:  11.0 | Average Reward: 11.970 | Steps:  1241 | Total Reward: 1241.0|
| Episode: 103 | Epsilon:  0.10 | Reward:  13.0 | Average Reward: 11.960 | Steps:  1254 | Total Reward: 1254.0|
| Episode: 104 | Epsilon:  0.10 | Reward:   9.0 | Average Reward: 11.890 | Steps:  1263 | Total Reward: 1263.0|
| Episode: 105 | Epsilon:  0.10 | Reward:  13.0 | Average Reward: 11.780 | Steps:  1276 | Total Reward: 1276.0|
| Episode: 106 | Epsilon:  0.10 | Reward:  19.0 | Average Reward: 11.830 | Steps:  1295 | Total Reward: 1295.0|
| Episode: 107 | Epsilon:  0.10 | Reward:  18.0 | Average Reward: 11.860 | Steps:  1313 | Total Reward: 1313.0|
