class Configuration2(object):
    def __init__(self):
        self.device = torch.device("cuda" if torch.cuda.is_available() else "cpu")
        self.env_type = 'gym'  # atari / gym
        self.memory_type = 'r_memory'  # memory / r_memory

        self.model = {'drqn': 'fc', 'layer': 'lstm', 'bidirectional': False, 'rnn_layers_number': 1,
                      'hidden_space': 128}

        ''' drqn: 'fc' or 'cnn', layer: 'hopfield', 'hopfield_layer', 'hopfield_pooling', 'lstm', 'gru' '''
        self.compatible_layers = ['hopfield', 'hopfield_layer', 'hopfield_pooling', 'lstm', 'gru']
        self.rnn_layers = ['lstm', 'gru', 'rnn']

        self.loss = 'mse'  # huber or mse,

        self.gamma = 0.99
        self.learning_rate = 0.00025
        self.weight_decay = 0.0

        self.soft_update_freq = 100
        self.capacity = 100000
        self.episode = 1000000
        self.seq_len = 50
        self.batch_size = 32

        self.exploration = 2000
        self.epsilon_init = 0.9
        self.epsilon_min = 0.10
        self.decay = 20

        self.render = False


| episode:  49 | epsilon:  0.17 | reward:  10.0 | avg. reward: 13.347 | steps:   654| total reward: 654.0|
| episode:  50 | epsilon:  0.17 | reward:   9.0 | avg. reward: 13.260 | steps:   663| total reward: 663.0|
| episode:  51 | epsilon:  0.17 | reward:  10.0 | avg. reward: 13.196 | steps:   673| total reward: 673.0|
| episode:  52 | epsilon:  0.16 | reward:   9.0 | avg. reward: 13.115 | steps:   682| total reward: 682.0|
| episode:  53 | epsilon:  0.16 | reward:  11.0 | avg. reward: 13.075 | steps:   693| total reward: 693.0|
| episode:  54 | epsilon:  0.16 | reward:  14.0 | avg. reward: 13.093 | steps:   707| total reward: 707.0|
| episode:  55 | epsilon:  0.15 | reward:   9.0 | avg. reward: 13.018 | steps:   716| total reward: 716.0|
| episode:  56 | epsilon:  0.15 | reward:   9.0 | avg. reward: 12.946 | steps:   725| total reward: 725.0|
| episode:  57 | epsilon:  0.15 | reward:  10.0 | avg. reward: 12.895 | steps:   735| total reward: 735.0|
| episode:  58 | epsilon:  0.15 | reward:   9.0 | avg. reward: 12.828 | steps:   744| total reward: 744.0|
| episode:  59 | epsilon:  0.14 | reward:  10.0 | avg. reward: 12.780 | steps:   754| total reward: 754.0|
| episode:  60 | epsilon:  0.14 | reward:  11.0 | avg. reward: 12.750 | steps:   765| total reward: 765.0|
| episode:  61 | epsilon:  0.14 | reward:  10.0 | avg. reward: 12.705 | steps:   775| total reward: 775.0|
| episode:  62 | epsilon:  0.14 | reward:  12.0 | avg. reward: 12.694 | steps:   787| total reward: 787.0|
| episode:  63 | epsilon:  0.14 | reward:   9.0 | avg. reward: 12.635 | steps:   796| total reward: 796.0|
| episode:  64 | epsilon:  0.13 | reward:  10.0 | avg. reward: 12.594 | steps:   806| total reward: 806.0|
| episode:  65 | epsilon:  0.13 | reward:   9.0 | avg. reward: 12.538 | steps:   815| total reward: 815.0|
| episode:  66 | epsilon:  0.13 | reward:  11.0 | avg. reward: 12.515 | steps:   826| total reward: 826.0|
| episode:  67 | epsilon:  0.13 | reward:  10.0 | avg. reward: 12.478 | steps:   836| total reward: 836.0|
| episode:  68 | epsilon:  0.13 | reward:  10.0 | avg. reward: 12.441 | steps:   846| total reward: 846.0|
| episode:  69 | epsilon:  0.13 | reward:  11.0 | avg. reward: 12.420 | steps:   857| total reward: 857.0|
| episode:  70 | epsilon:  0.13 | reward:  12.0 | avg. reward: 12.414 | steps:   869| total reward: 869.0|
| episode:  71 | epsilon:  0.12 | reward:  10.0 | avg. reward: 12.380 | steps:   879| total reward: 879.0|
| episode:  72 | epsilon:  0.12 | reward:  12.0 | avg. reward: 12.375 | steps:   891| total reward: 891.0|
| episode:  73 | epsilon:  0.12 | reward:   8.0 | avg. reward: 12.315 | steps:   899| total reward: 899.0|
| episode:  74 | epsilon:  0.12 | reward:  11.0 | avg. reward: 12.297 | steps:   910| total reward: 910.0|
| episode:  75 | epsilon:  0.12 | reward:  10.0 | avg. reward: 12.267 | steps:   920| total reward: 920.0|
| episode:  76 | epsilon:  0.12 | reward:  10.0 | avg. reward: 12.237 | steps:   930| total reward: 930.0|
| episode:  77 | epsilon:  0.12 | reward:  11.0 | avg. reward: 12.221 | steps:   941| total reward: 941.0|
| episode:  78 | epsilon:  0.12 | reward:  11.0 | avg. reward: 12.205 | steps:   952| total reward: 952.0|
| episode:  79 | epsilon:  0.12 | reward:  11.0 | avg. reward: 12.190 | steps:   963| total reward: 963.0|
| episode:  80 | epsilon:  0.12 | reward:   9.0 | avg. reward: 12.150 | steps:   972| total reward: 972.0|
| episode:  81 | epsilon:  0.11 | reward:   9.0 | avg. reward: 12.111 | steps:   981| total reward: 981.0|
| episode:  82 | epsilon:  0.11 | reward:  10.0 | avg. reward: 12.085 | steps:   991| total reward: 991.0|
| episode:  83 | epsilon:  0.11 | reward:  10.0 | avg. reward: 12.060 | steps:  1001| total reward: 1001.0|
| episode:  84 | epsilon:  0.11 | reward:   8.0 | avg. reward: 12.012 | steps:  1009| total reward: 1009.0|
| episode:  85 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.976 | steps:  1018| total reward: 1018.0|
| episode:  86 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.953 | steps:  1028| total reward: 1028.0|
| episode:  87 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.920 | steps:  1037| total reward: 1037.0|
| episode:  88 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.886 | steps:  1046| total reward: 1046.0|
| episode:  89 | epsilon:  0.11 | reward:  11.0 | avg. reward: 11.876 | steps:  1057| total reward: 1057.0|
| episode:  90 | epsilon:  0.11 | reward:  14.0 | avg. reward: 11.900 | steps:  1071| total reward: 1071.0|
| episode:  91 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.879 | steps:  1081| total reward: 1081.0|
| episode:  92 | epsilon:  0.11 | reward:  11.0 | avg. reward: 11.870 | steps:  1092| total reward: 1092.0|
| episode:  93 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.839 | steps:  1101| total reward: 1101.0|
| episode:  94 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.809 | steps:  1110| total reward: 1110.0|
| episode:  95 | epsilon:  0.11 | reward:  12.0 | avg. reward: 11.811 | steps:  1122| total reward: 1122.0|
| episode:  96 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.781 | steps:  1131| total reward: 1131.0|
| episode:  97 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.753 | steps:  1140| total reward: 1140.0|
| episode:  98 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.735 | steps:  1150| total reward: 1150.0|
| episode:  99 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.707 | steps:  1159| total reward: 1159.0|
| episode: 100 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.690 | steps:  1169| total reward: 1169.0|
| episode: 101 | epsilon:  0.11 | reward:   8.0 | avg. reward: 11.560 | steps:  1177| total reward: 1177.0|
| episode: 102 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.510 | steps:  1186| total reward: 1186.0|
| episode: 103 | epsilon:  0.10 | reward:  13.0 | avg. reward: 11.520 | steps:  1199| total reward: 1199.0|
| episode: 104 | epsilon:  0.10 | reward:   9.0 | avg. reward: 11.160 | steps:  1208| total reward: 1208.0|
| episode: 105 | epsilon:  0.10 | reward:  10.0 | avg. reward: 11.060 | steps:  1218| total reward: 1218.0|
| episode: 106 | epsilon:  0.10 | reward:   9.0 | avg. reward: 11.000 | steps:  1227| total reward: 1227.0|
| episode: 107 | epsilon:  0.10 | reward:  11.0 | avg. reward: 11.020 | steps:  1238| total reward: 1238.0|
| episode: 108 | epsilon:  0.10 | reward:  12.0 | avg. reward: 11.010 | steps:  1250| total reward: 1250.0|
| episode: 109 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.870 | steps:  1259| total reward: 1259.0|
| episode: 110 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.720 | steps:  1268| total reward: 1268.0|
| episode: 111 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.720 | steps:  1278| total reward: 1278.0|
| episode: 112 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.620 | steps:  1287| total reward: 1287.0|
| episode: 113 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.570 | steps:  1297| total reward: 1297.0|
