C:\Users\USER\anaconda3\python.exe C:/Users/USER/PycharmProjects/thesisProje/main.py
| episode:  57 | epsilon:  0.15 | reward:  10.0 | avg. reward: 11.439 | steps:   652| total reward: 652.0|
| episode:  58 | epsilon:  0.15 | reward:  11.0 | avg. reward: 11.431 | steps:   663| total reward: 663.0|
| episode:  59 | epsilon:  0.14 | reward:  10.0 | avg. reward: 11.407 | steps:   673| total reward: 673.0|
| episode:  60 | epsilon:  0.14 | reward:  12.0 | avg. reward: 11.417 | steps:   685| total reward: 685.0|
| episode:  61 | epsilon:  0.14 | reward:  10.0 | avg. reward: 11.393 | steps:   695| total reward: 695.0|
| episode:  62 | epsilon:  0.14 | reward:  10.0 | avg. reward: 11.371 | steps:   705| total reward: 705.0|
| episode:  63 | epsilon:  0.14 | reward:  13.0 | avg. reward: 11.397 | steps:   718| total reward: 718.0|
| episode:  64 | epsilon:  0.13 | reward:   9.0 | avg. reward: 11.359 | steps:   727| total reward: 727.0|
| episode:  65 | epsilon:  0.13 | reward:  10.0 | avg. reward: 11.338 | steps:   737| total reward: 737.0|
| episode:  66 | epsilon:  0.13 | reward:   9.0 | avg. reward: 11.303 | steps:   746| total reward: 746.0|
| episode:  67 | epsilon:  0.13 | reward:  11.0 | avg. reward: 11.299 | steps:   757| total reward: 757.0|
| episode:  68 | epsilon:  0.13 | reward:  13.0 | avg. reward: 11.324 | steps:   770| total reward: 770.0|
| episode:  69 | epsilon:  0.13 | reward:  10.0 | avg. reward: 11.304 | steps:   780| total reward: 780.0|
| episode:  70 | epsilon:  0.13 | reward:  12.0 | avg. reward: 11.314 | steps:   792| total reward: 792.0|
| episode:  71 | epsilon:  0.12 | reward:   9.0 | avg. reward: 11.282 | steps:   801| total reward: 801.0|
| episode:  72 | epsilon:  0.12 | reward:   9.0 | avg. reward: 11.250 | steps:   810| total reward: 810.0|
| episode:  73 | epsilon:  0.12 | reward:  13.0 | avg. reward: 11.274 | steps:   823| total reward: 823.0|
| episode:  74 | epsilon:  0.12 | reward:   9.0 | avg. reward: 11.243 | steps:   832| total reward: 832.0|
| episode:  75 | epsilon:  0.12 | reward:  10.0 | avg. reward: 11.227 | steps:   842| total reward: 842.0|
| episode:  76 | epsilon:  0.12 | reward:  12.0 | avg. reward: 11.237 | steps:   854| total reward: 854.0|
| episode:  77 | epsilon:  0.12 | reward:   8.0 | avg. reward: 11.195 | steps:   862| total reward: 862.0|
| episode:  78 | epsilon:  0.12 | reward:  12.0 | avg. reward: 11.205 | steps:   874| total reward: 874.0|
| episode:  79 | epsilon:  0.12 | reward:  10.0 | avg. reward: 11.190 | steps:   884| total reward: 884.0|
| episode:  80 | epsilon:  0.12 | reward:   8.0 | avg. reward: 11.150 | steps:   892| total reward: 892.0|
| episode:  81 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.123 | steps:   901| total reward: 901.0|
| episode:  82 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.110 | steps:   911| total reward: 911.0|
