                                     # normalize_pattern_projection=False,
                                     # normalize_pattern_projection_affine=False,
C:\Users\USER\anaconda3\python.exe C:/Users/USER/PycharmProjects/thesisProje/main.py
| episode:  56 | epsilon:  0.15 | reward:   9.0 | avg. reward: 11.268 | steps:   631| total reward: 631.0|
| episode:  57 | epsilon:  0.15 | reward:  10.0 | avg. reward: 11.246 | steps:   641| total reward: 641.0|
| episode:  58 | epsilon:  0.15 | reward:  10.0 | avg. reward: 11.224 | steps:   651| total reward: 651.0|
| episode:  59 | epsilon:  0.14 | reward:  11.0 | avg. reward: 11.220 | steps:   662| total reward: 662.0|
| episode:  60 | epsilon:  0.14 | reward:  10.0 | avg. reward: 11.200 | steps:   672| total reward: 672.0|
| episode:  61 | epsilon:  0.14 | reward:   9.0 | avg. reward: 11.164 | steps:   681| total reward: 681.0|
| episode:  62 | epsilon:  0.14 | reward:  10.0 | avg. reward: 11.145 | steps:   691| total reward: 691.0|
| episode:  63 | epsilon:  0.14 | reward:   9.0 | avg. reward: 11.111 | steps:   700| total reward: 700.0|
| episode:  64 | epsilon:  0.13 | reward:   9.0 | avg. reward: 11.078 | steps:   709| total reward: 709.0|
| episode:  65 | epsilon:  0.13 | reward:   9.0 | avg. reward: 11.046 | steps:   718| total reward: 718.0|
| episode:  66 | epsilon:  0.13 | reward:  10.0 | avg. reward: 11.030 | steps:   728| total reward: 728.0|
| episode:  67 | epsilon:  0.13 | reward:   8.0 | avg. reward: 10.985 | steps:   736| total reward: 736.0|
| episode:  68 | epsilon:  0.13 | reward:   9.0 | avg. reward: 10.956 | steps:   745| total reward: 745.0|
| episode:  69 | epsilon:  0.13 | reward:  11.0 | avg. reward: 10.957 | steps:   756| total reward: 756.0|
| episode:  70 | epsilon:  0.13 | reward:   9.0 | avg. reward: 10.929 | steps:   765| total reward: 765.0|
| episode:  71 | epsilon:  0.12 | reward:   8.0 | avg. reward: 10.887 | steps:   773| total reward: 773.0|
| episode:  72 | epsilon:  0.12 | reward:  11.0 | avg. reward: 10.889 | steps:   784| total reward: 784.0|
| episode:  73 | epsilon:  0.12 | reward:   9.0 | avg. reward: 10.863 | steps:   793| total reward: 793.0|
| episode:  74 | epsilon:  0.12 | reward:  10.0 | avg. reward: 10.851 | steps:   803| total reward: 803.0|
| episode:  75 | epsilon:  0.12 | reward:   9.0 | avg. reward: 10.827 | steps:   812| total reward: 812.0|
| episode:  76 | epsilon:  0.12 | reward:   8.0 | avg. reward: 10.789 | steps:   820| total reward: 820.0|
| episode:  77 | epsilon:  0.12 | reward:   9.0 | avg. reward: 10.766 | steps:   829| total reward: 829.0|
| episode:  78 | epsilon:  0.12 | reward:  10.0 | avg. reward: 10.756 | steps:   839| total reward: 839.0|
| episode:  79 | epsilon:  0.12 | reward:  10.0 | avg. reward: 10.747 | steps:   849| total reward: 849.0|
| episode:  80 | epsilon:  0.12 | reward:  10.0 | avg. reward: 10.738 | steps:   859| total reward: 859.0|
| episode:  81 | epsilon:  0.11 | reward:   8.0 | avg. reward: 10.704 | steps:   867| total reward: 867.0|
| episode:  82 | epsilon:  0.11 | reward:   9.0 | avg. reward: 10.683 | steps:   876| total reward: 876.0|
| episode:  83 | epsilon:  0.11 | reward:   8.0 | avg. reward: 10.651 | steps:   884| total reward: 884.0|
| episode:  84 | epsilon:  0.11 | reward:  10.0 | avg. reward: 10.643 | steps:   894| total reward: 894.0|
| episode:  85 | epsilon:  0.11 | reward:   8.0 | avg. reward: 10.612 | steps:   902| total reward: 902.0|
| episode:  86 | epsilon:  0.11 | reward:  10.0 | avg. reward: 10.605 | steps:   912| total reward: 912.0|
| episode:  87 | epsilon:  0.11 | reward:   9.0 | avg. reward: 10.586 | steps:   921| total reward: 921.0|
| episode:  88 | epsilon:  0.11 | reward:  10.0 | avg. reward: 10.580 | steps:   931| total reward: 931.0|
| episode:  89 | epsilon:  0.11 | reward:   8.0 | avg. reward: 10.551 | steps:   939| total reward: 939.0|
| episode:  90 | epsilon:  0.11 | reward:   9.0 | avg. reward: 10.533 | steps:   948| total reward: 948.0|
| episode:  91 | epsilon:  0.11 | reward:   9.0 | avg. reward: 10.516 | steps:   957| total reward: 957.0|
| episode:  92 | epsilon:  0.11 | reward:   9.0 | avg. reward: 10.500 | steps:   966| total reward: 966.0|
| episode:  93 | epsilon:  0.11 | reward:  10.0 | avg. reward: 10.495 | steps:   976| total reward: 976.0|
| episode:  94 | epsilon:  0.11 | reward:   9.0 | avg. reward: 10.479 | steps:   985| total reward: 985.0|
| episode:  95 | epsilon:  0.11 | reward:   8.0 | avg. reward: 10.453 | steps:   993| total reward: 993.0|
| episode:  96 | epsilon:  0.11 | reward:  11.0 | avg. reward: 10.458 | steps:  1004| total reward: 1004.0|
| episode:  97 | epsilon:  0.11 | reward:  10.0 | avg. reward: 10.454 | steps:  1014| total reward: 1014.0|
| episode:  98 | epsilon:  0.11 | reward:  10.0 | avg. reward: 10.449 | steps:  1024| total reward: 1024.0|
| episode:  99 | epsilon:  0.11 | reward:   8.0 | avg. reward: 10.424 | steps:  1032| total reward: 1032.0|
| episode: 100 | epsilon:  0.11 | reward:  11.0 | avg. reward: 10.430 | steps:  1043| total reward: 1043.0|
| episode: 101 | epsilon:  0.11 | reward:  11.0 | avg. reward: 10.380 | steps:  1054| total reward: 1054.0|
| episode: 102 | epsilon:  0.11 | reward:  10.0 | avg. reward: 10.250 | steps:  1064| total reward: 1064.0|
| episode: 103 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.250 | steps:  1074| total reward: 1074.0|
| episode: 104 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.250 | steps:  1083| total reward: 1083.0|
| episode: 105 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.220 | steps:  1093| total reward: 1093.0|
| episode: 106 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.210 | steps:  1102| total reward: 1102.0|
| episode: 107 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.210 | steps:  1112| total reward: 1112.0|
| episode: 108 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.180 | steps:  1121| total reward: 1121.0|
| episode: 109 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.040 | steps:  1131| total reward: 1131.0|
